ID,pair_id,cluster,time
20080502080709,1,Cluster 1  |  n = 1649,t1
20080502082034,2,Cluster 1  |  n = 1649,t1
20080503080165,3,Cluster 1  |  n = 1649,t1
20080503080544,4,Cluster 1  |  n = 1649,t1
20080503080569,5,Cluster 4  |  n = 1078,t1
20080503080571,6,Cluster 4  |  n = 1078,t1
20080503080600,7,Cluster 4  |  n = 1078,t1
20080503080710,8,Cluster 1  |  n = 1649,t1
20080503080731,9,Cluster 2  |  n = 440,t1
20080503080858,10,Cluster 3  |  n = 144,t1
20080503080862,11,Cluster 1  |  n = 1649,t1
20080503080863,12,Cluster 4  |  n = 1078,t1
20080503080868,13,Cluster 1  |  n = 1649,t1
20080503080876,14,Cluster 4  |  n = 1078,t1
20080503080930,15,Cluster 1  |  n = 1649,t1
20080503080968,16,Cluster 2  |  n = 440,t1
20080503080969,17,Cluster 2  |  n = 440,t1
20080503081009,18,Cluster 1  |  n = 1649,t1
20080503081149,19,Cluster 4  |  n = 1078,t1
20080503081401,20,Cluster 1  |  n = 1649,t1
20080503081448,21,Cluster 1  |  n = 1649,t1
20080503081467,22,Cluster 3  |  n = 144,t1
20080503081528,23,Cluster 2  |  n = 440,t1
20080503081566,24,Cluster 1  |  n = 1649,t1
20080503081613,25,Cluster 1  |  n = 1649,t1
20080503081685,26,Cluster 1  |  n = 1649,t1
20080503081693,27,Cluster 1  |  n = 1649,t1
20080503081704,28,Cluster 3  |  n = 144,t1
20080503081743,29,Cluster 1  |  n = 1649,t1
20080503081754,30,Cluster 1  |  n = 1649,t1
20080503081764,31,Cluster 4  |  n = 1078,t1
20080503081800,32,Cluster 4  |  n = 1078,t1
20080503081801,33,Cluster 2  |  n = 440,t1
20080503081829,34,Cluster 1  |  n = 1649,t1
20080503081927,35,Cluster 2  |  n = 440,t1
20080503081985,36,Cluster 1  |  n = 1649,t1
20080503082027,37,Cluster 3  |  n = 144,t1
20080503082093,38,Cluster 1  |  n = 1649,t1
20080503082108,39,Cluster 2  |  n = 440,t1
20080503082130,40,Cluster 4  |  n = 1078,t1
20080503082177,41,Cluster 4  |  n = 1078,t1
20080503082192,42,Cluster 1  |  n = 1649,t1
20080503082228,43,Cluster 3  |  n = 144,t1
20080503082258,44,Cluster 2  |  n = 440,t1
20080503082286,46,Cluster 3  |  n = 144,t1
20080503082346,47,Cluster 1  |  n = 1649,t1
20080503082359,48,Cluster 4  |  n = 1078,t1
20080503082383,49,Cluster 2  |  n = 440,t1
20080503082393,50,Cluster 4  |  n = 1078,t1
20080503082408,51,Cluster 3  |  n = 144,t1
20080503082515,52,Cluster 3  |  n = 144,t1
20080504080024,53,Cluster 1  |  n = 1649,t1
20080504080030,54,Cluster 1  |  n = 1649,t1
20080504080080,55,Cluster 2  |  n = 440,t1
20080504080081,56,Cluster 1  |  n = 1649,t1
20080504080088,57,Cluster 4  |  n = 1078,t1
20080504080104,58,Cluster 4  |  n = 1078,t1
20080504080106,59,Cluster 1  |  n = 1649,t1
20080504080120,60,Cluster 1  |  n = 1649,t1
20080504080141,61,Cluster 1  |  n = 1649,t1
20080504080157,62,Cluster 4  |  n = 1078,t1
20080504080160,63,Cluster 4  |  n = 1078,t1
20080504080170,64,Cluster 4  |  n = 1078,t1
20080504080509,65,Cluster 1  |  n = 1649,t1
20080504080522,66,Cluster 2  |  n = 440,t1
20080504080524,67,Cluster 4  |  n = 1078,t1
20080504080525,68,Cluster 4  |  n = 1078,t1
20080504080527,69,Cluster 1  |  n = 1649,t1
20080504080535,70,Cluster 4  |  n = 1078,t1
20080504080536,71,Cluster 4  |  n = 1078,t1
20080504080539,72,Cluster 1  |  n = 1649,t1
20080504080544,73,Cluster 1  |  n = 1649,t1
20080504080546,74,Cluster 2  |  n = 440,t1
20080504080562,75,Cluster 1  |  n = 1649,t1
20080504080566,76,Cluster 1  |  n = 1649,t1
20080504080570,77,Cluster 1  |  n = 1649,t1
20080504080575,78,Cluster 4  |  n = 1078,t1
20080504080597,79,Cluster 1  |  n = 1649,t1
20080504080599,80,Cluster 2  |  n = 440,t1
20080504080614,81,Cluster 1  |  n = 1649,t1
20080504080617,82,Cluster 1  |  n = 1649,t1
20080504080619,83,Cluster 2  |  n = 440,t1
20080504080620,84,Cluster 2  |  n = 440,t1
20080504080622,85,Cluster 1  |  n = 1649,t1
20080504080634,86,Cluster 4  |  n = 1078,t1
20080504080638,87,Cluster 4  |  n = 1078,t1
20080504080639,88,Cluster 3  |  n = 144,t1
20080504080640,89,Cluster 1  |  n = 1649,t1
20080504080642,90,Cluster 1  |  n = 1649,t1
20080504080645,91,Cluster 3  |  n = 144,t1
