ID,pair_id,cluster,time
20070502070072,1,Cluster 4  |  n = 1071,t1
20070502070510,2,Cluster 4  |  n = 1071,t1
20070503070003,3,Cluster 4  |  n = 1071,t1
20070503070015,4,Cluster 1  |  n = 1619,t1
20070503070502,5,Cluster 2  |  n = 418,t1
20070503070609,6,Cluster 2  |  n = 418,t1
20070503070622,7,Cluster 4  |  n = 1071,t1
20070503070641,8,Cluster 1  |  n = 1619,t1
20070503070670,9,Cluster 1  |  n = 1619,t1
20070503070746,10,Cluster 1  |  n = 1619,t1
20070503070793,11,Cluster 1  |  n = 1619,t1
20070503070808,12,Cluster 1  |  n = 1619,t1
20070503070851,13,Cluster 1  |  n = 1619,t1
20070503070872,14,Cluster 1  |  n = 1619,t1
20070503070874,15,Cluster 1  |  n = 1619,t1
20070503070875,16,Cluster 4  |  n = 1071,t1
20070503071077,17,Cluster 4  |  n = 1071,t1
20070503071109,18,Cluster 1  |  n = 1619,t1
20070503071117,19,Cluster 1  |  n = 1619,t1
20070503071150,20,Cluster 1  |  n = 1619,t1
20070503071165,21,Cluster 2  |  n = 418,t1
20070503071189,22,Cluster 1  |  n = 1619,t1
20070503071193,23,Cluster 1  |  n = 1619,t1
20070503071212,24,Cluster 1  |  n = 1619,t1
20070503071270,25,Cluster 1  |  n = 1619,t1
20070503071308,26,Cluster 1  |  n = 1619,t1
20070503071381,27,Cluster 1  |  n = 1619,t1
20070503071426,28,Cluster 1  |  n = 1619,t1
20070503071468,29,Cluster 1  |  n = 1619,t1
20070503071507,30,Cluster 2  |  n = 418,t1
20070503071526,31,Cluster 3  |  n = 124,t1
20070503071573,32,Cluster 1  |  n = 1619,t1
20070503071617,33,Cluster 1  |  n = 1619,t1
20070503071668,34,Cluster 1  |  n = 1619,t1
20070503071669,35,Cluster 1  |  n = 1619,t1
20070503071712,36,Cluster 4  |  n = 1071,t1
20070503071748,37,Cluster 3  |  n = 124,t1
20070503071767,38,Cluster 2  |  n = 418,t1
20070503071812,39,Cluster 1  |  n = 1619,t1
20070503071818,40,Cluster 3  |  n = 124,t1
20070503071834,41,Cluster 4  |  n = 1071,t1
20070503071931,42,Cluster 1  |  n = 1619,t1
20070503072000,43,Cluster 1  |  n = 1619,t1
20070503072024,44,Cluster 3  |  n = 124,t1
20070503072062,45,Cluster 3  |  n = 124,t1
20070503072085,46,Cluster 1  |  n = 1619,t1
20070503072095,47,Cluster 4  |  n = 1071,t1
20070503072281,48,Cluster 1  |  n = 1619,t1
20070503072341,49,Cluster 1  |  n = 1619,t1
20070503072368,50,Cluster 1  |  n = 1619,t1
20070503072372,51,Cluster 1  |  n = 1619,t1
20070503072394,52,Cluster 1  |  n = 1619,t1
20070503072436,53,Cluster 1  |  n = 1619,t1
20070504070039,54,Cluster 4  |  n = 1071,t1
20070504070079,55,Cluster 2  |  n = 418,t1
20070504070084,56,Cluster 1  |  n = 1619,t1
20070504070091,57,Cluster 2  |  n = 418,t1
20070504070113,58,Cluster 1  |  n = 1619,t1
20070504070135,59,Cluster 1  |  n = 1619,t1
20070504070502,60,Cluster 4  |  n = 1071,t1
20070504070518,61,Cluster 1  |  n = 1619,t1
20070504070531,62,Cluster 1  |  n = 1619,t1
20070504070535,63,Cluster 3  |  n = 124,t1
20070504070537,64,Cluster 4  |  n = 1071,t1
20070504070556,65,Cluster 4  |  n = 1071,t1
20070504070560,66,Cluster 2  |  n = 418,t1
20070504070579,67,Cluster 1  |  n = 1619,t1
20070504070591,68,Cluster 1  |  n = 1619,t1
20070504070598,69,Cluster 1  |  n = 1619,t1
20070504070602,70,Cluster 1  |  n = 1619,t1
20070504070607,71,Cluster 4  |  n = 1071,t1
20070504070612,72,Cluster 4  |  n = 1071,t1
20070504070617,73,Cluster 4  |  n = 1071,t1
20070504070619,74,Cluster 2  |  n = 418,t1
