t1,t2,n
Cluster 1,Cluster 1,1570
Cluster 2,Cluster 1,56
Cluster 3,Cluster 1,390
Cluster 4,Cluster 1,465
Cluster 1,Cluster 2,62
Cluster 2,Cluster 2,122
Cluster 3,Cluster 2,50
Cluster 4,Cluster 2,41
Cluster 1,Cluster 3,222
Cluster 2,Cluster 3,15
Cluster 3,Cluster 3,241
Cluster 4,Cluster 3,164
Cluster 1,Cluster 4,365
Cluster 2,Cluster 4,14
Cluster 3,Cluster 4,195
Cluster 4,Cluster 4,247
Cluster 1,Cluster unmatched 1,451
Cluster 2,Cluster unmatched 1,49
Cluster 3,Cluster unmatched 1,345
Cluster 4,Cluster unmatched 1,278
