t1,t2,n
Cluster 1,Cluster 1,1581
Cluster 2,Cluster 1,165
Cluster 3,Cluster 1,50
Cluster 4,Cluster 1,197
Cluster 5,Cluster 1,557
Cluster 1,Cluster 2,288
Cluster 2,Cluster 2,171
Cluster 3,Cluster 2,36
Cluster 4,Cluster 2,70
Cluster 5,Cluster 2,405
Cluster 1,Cluster 3,47
Cluster 2,Cluster 3,15
Cluster 3,Cluster 3,81
Cluster 4,Cluster 3,8
Cluster 5,Cluster 3,54
Cluster 1,Cluster 5,615
Cluster 2,Cluster 5,184
Cluster 3,Cluster 5,30
Cluster 4,Cluster 5,164
Cluster 5,Cluster 5,610
