t1,t2,n
Cluster 1,Cluster 1,1700
Cluster 2,Cluster 1,59
Cluster 3,Cluster 1,912
Cluster 1,Cluster 2,86
Cluster 2,Cluster 2,133
Cluster 3,Cluster 2,102
Cluster 1,Cluster 3,1103
Cluster 2,Cluster 3,111
Cluster 3,Cluster 3,1773
