t1,t2,n
Cluster 1,Cluster 1,1303
Cluster 2,Cluster 1,133
Cluster 3,Cluster 1,29
Cluster 4,Cluster 1,87
Cluster 5,Cluster 1,95
Cluster 1,Cluster 2,112
Cluster 2,Cluster 2,235
Cluster 3,Cluster 2,10
Cluster 4,Cluster 2,27
Cluster 5,Cluster 2,42
Cluster 1,Cluster 3,19
Cluster 2,Cluster 3,13
Cluster 3,Cluster 3,59
Cluster 4,Cluster 3,27
Cluster 5,Cluster 3,20
Cluster 1,Cluster 4,198
Cluster 2,Cluster 4,66
Cluster 3,Cluster 4,51
Cluster 4,Cluster 4,472
Cluster 5,Cluster 4,283
