t1,t2,n
Cluster 1,Cluster 2,84
Cluster 2,Cluster 2,1577
Cluster 3,Cluster 2,70
Cluster 4,Cluster 2,389
Cluster 5,Cluster 2,575
Cluster 1,Cluster 3,8
Cluster 2,Cluster 3,61
Cluster 3,Cluster 3,108
Cluster 4,Cluster 3,53
Cluster 5,Cluster 3,36
Cluster 1,Cluster 4,60
Cluster 2,Cluster 4,902
Cluster 3,Cluster 4,70
Cluster 4,Cluster 4,633
Cluster 5,Cluster 4,716
