ID,cluster,time
20170502170524,Cluster 1  |  n = 1404,t1
20170502170622,Cluster 2  |  n = 307,t1
20170502171004,Cluster 3  |  n = 1370,t1
20170502171182,Cluster 1  |  n = 1404,t1
20170502171204,Cluster 1  |  n = 1404,t1
20170502171467,Cluster 2  |  n = 307,t1
20170502171797,Cluster 3  |  n = 1370,t1
20170502172023,Cluster 1  |  n = 1404,t1
20170502172167,Cluster 2  |  n = 307,t1
20170503170568,Cluster 3  |  n = 1370,t1
20170503170656,Cluster 3  |  n = 1370,t1
20170503170679,Cluster 1  |  n = 1404,t1
20170503170685,Cluster 3  |  n = 1370,t1
20170503170716,Cluster 2  |  n = 307,t1
20170503170773,Cluster 1  |  n = 1404,t1
20170503170805,Cluster 1  |  n = 1404,t1
20170503170875,Cluster 1  |  n = 1404,t1
20170503170908,Cluster 1  |  n = 1404,t1
20170503170946,Cluster 3  |  n = 1370,t1
20170503170956,Cluster 3  |  n = 1370,t1
20170503170972,Cluster 3  |  n = 1370,t1
20170503170998,Cluster 3  |  n = 1370,t1
20170503171038,Cluster 3  |  n = 1370,t1
20170503171089,Cluster 1  |  n = 1404,t1
20170503171094,Cluster 1  |  n = 1404,t1
20170503171096,Cluster 3  |  n = 1370,t1
20170503171236,Cluster 3  |  n = 1370,t1
20170503171246,Cluster 3  |  n = 1370,t1
20170503171287,Cluster 1  |  n = 1404,t1
20170503171349,Cluster 1  |  n = 1404,t1
20170503171370,Cluster 1  |  n = 1404,t1
20170503171384,Cluster 1  |  n = 1404,t1
20170503171387,Cluster 3  |  n = 1370,t1
20170503171412,Cluster 1  |  n = 1404,t1
20170503171432,Cluster 3  |  n = 1370,t1
20170503171433,Cluster 3  |  n = 1370,t1
20170503171464,Cluster 3  |  n = 1370,t1
20170503171468,Cluster 1  |  n = 1404,t1
20170503171491,Cluster 1  |  n = 1404,t1
20170503171525,Cluster 1  |  n = 1404,t1
20170503171561,Cluster 1  |  n = 1404,t1
20170503171563,Cluster 3  |  n = 1370,t1
20170503171596,Cluster 1  |  n = 1404,t1
20170503171609,Cluster 1  |  n = 1404,t1
20170503171628,Cluster 3  |  n = 1370,t1
20170503171646,Cluster 3  |  n = 1370,t1
20170503171657,Cluster 3  |  n = 1370,t1
20170503171667,Cluster 1  |  n = 1404,t1
20170503171678,Cluster 3  |  n = 1370,t1
20170503171698,Cluster 3  |  n = 1370,t1
20170503171729,Cluster 1  |  n = 1404,t1
20170503171733,Cluster 1  |  n = 1404,t1
20170503171749,Cluster 1  |  n = 1404,t1
20170503171756,Cluster 1  |  n = 1404,t1
20170503171775,Cluster 3  |  n = 1370,t1
20170503171793,Cluster 1  |  n = 1404,t1
20170503171811,Cluster 3  |  n = 1370,t1
20170503171829,Cluster 3  |  n = 1370,t1
20170503171892,Cluster 3  |  n = 1370,t1
20170503171972,Cluster 1  |  n = 1404,t1
20170503172044,Cluster 1  |  n = 1404,t1
20170503172045,Cluster 1  |  n = 1404,t1
20170503172086,Cluster 3  |  n = 1370,t1
20170503172087,Cluster 1  |  n = 1404,t1
20170503172093,Cluster 2  |  n = 307,t1
20170503172159,Cluster 3  |  n = 1370,t1
20170503172167,Cluster 1  |  n = 1404,t1
20170503172170,Cluster 3  |  n = 1370,t1
20170503172178,Cluster 1  |  n = 1404,t1
20170503172191,Cluster 2  |  n = 307,t1
20170503172220,Cluster 1  |  n = 1404,t1
20170503172253,Cluster 1  |  n = 1404,t1
20170503172260,Cluster 1  |  n = 1404,t1
20170503172285,Cluster 2  |  n = 307,t1
20170503172289,Cluster 2  |  n = 307,t1
20170503172314,Cluster 1  |  n = 1404,t1
20170503172373,Cluster 1  |  n = 1404,t1
20170503172402,Cluster 1  |  n = 1404,t1
20170503172406,Cluster 3  |  n = 1370,t1
20170503172416,Cluster 3  |  n = 1370,t1
20170503172417,Cluster 1  |  n = 1404,t1
20170503172424,Cluster 3  |  n = 1370,t1
20170503172458,Cluster 3  |  n = 1370,t1
20170503172465,Cluster 1  |  n = 1404,t1
20170503172483,Cluster 3  |  n = 1370,t1
20170504170001,Cluster 3  |  n = 1370,t1
20170504170017,Cluster 3  |  n = 1370,t1
20170504170021,Cluster 1  |  n = 1404,t1
20170504170023,Cluster 3  |  n = 1370,t1
20170504170027,Cluster 3  |  n = 1370,t1
20170504170028,Cluster 1  |  n = 1404,t1
20170504170038,Cluster 1  |  n = 1404,t1
20170504170047,Cluster 2  |  n = 307,t1
20170504170089,Cluster 1  |  n = 1404,t1
20170504170093,Cluster 3  |  n = 1370,t1
20170504170094,Cluster 3  |  n = 1370,t1
20170504170095,Cluster 1  |  n = 1404,t1
20170504170099,Cluster 3  |  n = 1370,t1
20170504170103,Cluster 1  |  n = 1404,t1
20170504170115,Cluster 1  |  n = 1404,t1
20170504170125,Cluster 1  |  n = 1404,t1
20170504170145,Cluster 2  |  n = 307,t1
20170504170159,Cluster 1  |  n = 1404,t1
20170504170161,Cluster 2  |  n = 307,t1
20170504170162,Cluster 1  |  n = 1404,t1
20170504170507,Cluster 2  |  n = 307,t1
20170504170509,Cluster 1  |  n = 1404,t1
20170504170511,Cluster 3  |  n = 1370,t1
20170504170520,Cluster 1  |  n = 1404,t1
20170504170524,Cluster 3  |  n = 1370,t1
20170504170526,Cluster 1  |  n = 1404,t1
20170504170527,Cluster 1  |  n = 1404,t1
20170504170529,Cluster 3  |  n = 1370,t1
20170504170534,Cluster 3  |  n = 1370,t1
20170504170539,Cluster 3  |  n = 1370,t1
20170504170543,Cluster 1  |  n = 1404,t1
20170504170546,Cluster 1  |  n = 1404,t1
20170504170551,Cluster 1  |  n = 1404,t1
20170504170552,Cluster 3  |  n = 1370,t1
20170504170553,Cluster 1  |  n = 1404,t1
20170504170566,Cluster 3  |  n = 1370,t1
20170504170570,Cluster 1  |  n = 1404,t1
20170504170578,Cluster 3  |  n = 1370,t1
20170504170587,Cluster 3  |  n = 1370,t1
20170504170592,Cluster 3  |  n = 1370,t1
20170504170606,Cluster 3  |  n = 1370,t1
20170504170618,Cluster 3  |  n = 1370,t1
20170504170626,Cluster 3  |  n = 1370,t1
20170504170633,Cluster 3  |  n = 1370,t1
20170504170640,Cluster 3  |  n = 1370,t1
20170504170644,Cluster 3  |  n = 1370,t1
20170504170653,Cluster 1  |  n = 1404,t1
20170504170661,Cluster 1  |  n = 1404,t1
20170504170664,Cluster 3  |  n = 1370,t1
20170504170665,Cluster 3  |  n = 1370,t1
20170504170669,Cluster 3  |  n = 1370,t1
20170504170681,Cluster 1  |  n = 1404,t1
20170504170683,Cluster 3  |  n = 1370,t1
20170504170692,Cluster 1  |  n = 1404,t1
20170504170694,Cluster 1  |  n = 1404,t1
20170504170697,Cluster 1  |  n = 1404,t1
20170504170698,Cluster 1  |  n = 1404,t1
20170504170705,Cluster 1  |  n = 1404,t1
20170504170707,Cluster 1  |  n = 1404,t1
20170504170715,Cluster 1  |  n = 1404,t1
20170504170716,Cluster 1  |  n = 1404,t1
20170504170719,Cluster 1  |  n = 1404,t1
20170504170733,Cluster 1  |  n = 1404,t1
20170504170736,Cluster 3  |  n = 1370,t1
20170504170753,Cluster 3  |  n = 1370,t1
20170504170754,Cluster 3  |  n = 1370,t1
20170504170768,Cluster 1  |  n = 1404,t1
20170504170773,Cluster 1  |  n = 1404,t1
20170504170782,Cluster 1  |  n = 1404,t1
20170504170784,Cluster 2  |  n = 307,t1
20170504170787,Cluster 1  |  n = 1404,t1
20170504170789,Cluster 1  |  n = 1404,t1
20170504170802,Cluster 3  |  n = 1370,t1
20170504170826,Cluster 3  |  n = 1370,t1
20170504170857,Cluster 1  |  n = 1404,t1
20170504170859,Cluster 1  |  n = 1404,t1
20170504170864,Cluster 3  |  n = 1370,t1
20170504170874,Cluster 1  |  n = 1404,t1
20170504170876,Cluster 1  |  n = 1404,t1
20170504170886,Cluster 1  |  n = 1404,t1
20170504170894,Cluster 1  |  n = 1404,t1
20170504170913,Cluster 3  |  n = 1370,t1
20170504170930,Cluster 2  |  n = 307,t1
20170504170939,Cluster 1  |  n = 1404,t1
20170504170940,Cluster 3  |  n = 1370,t1
20170504170945,Cluster 3  |  n = 1370,t1
20170504170953,Cluster 2  |  n = 307,t1
20170504170955,Cluster 2  |  n = 307,t1
20170504170958,Cluster 1  |  n = 1404,t1
20170504170966,Cluster 2  |  n = 307,t1
20170504170967,Cluster 3  |  n = 1370,t1
20170504170969,Cluster 1  |  n = 1404,t1
20170504170992,Cluster 3  |  n = 1370,t1
20170504171002,Cluster 1  |  n = 1404,t1
20170504171007,Cluster 3  |  n = 1370,t1
20170504171011,Cluster 1  |  n = 1404,t1
20170504171018,Cluster 3  |  n = 1370,t1
20170504171034,Cluster 1  |  n = 1404,t1
20170504171036,Cluster 3  |  n = 1370,t1
20170504171046,Cluster 3  |  n = 1370,t1
20170504171065,Cluster 3  |  n = 1370,t1
20170504171071,Cluster 3  |  n = 1370,t1
20170504171087,Cluster 3  |  n = 1370,t1
20170504171090,Cluster 1  |  n = 1404,t1
20170504171093,Cluster 1  |  n = 1404,t1
20170504171099,Cluster 3  |  n = 1370,t1
20170504171109,Cluster 1  |  n = 1404,t1
20170504171114,Cluster 2  |  n = 307,t1
20170504171128,Cluster 2  |  n = 307,t1
20170504171131,Cluster 3  |  n = 1370,t1
20170504171142,Cluster 3  |  n = 1370,t1
20170504171183,Cluster 3  |  n = 1370,t1
20170504171188,Cluster 1  |  n = 1404,t1
20170504171195,Cluster 1  |  n = 1404,t1
20170504171200,Cluster 2  |  n = 307,t1
20170504171212,Cluster 1  |  n = 1404,t1
20170504171218,Cluster 2  |  n = 307,t1
20170504171229,Cluster 3  |  n = 1370,t1
20170504171232,Cluster 3  |  n = 1370,t1
20170504171237,Cluster 1  |  n = 1404,t1
20170504171243,Cluster 3  |  n = 1370,t1
20170504171246,Cluster 3  |  n = 1370,t1
20170504171251,Cluster 3  |  n = 1370,t1
20170504171258,Cluster 1  |  n = 1404,t1
20170504171264,Cluster 1  |  n = 1404,t1
20170504171282,Cluster 1  |  n = 1404,t1
20170504171300,Cluster 3  |  n = 1370,t1
20170504171303,Cluster 1  |  n = 1404,t1
20170504171320,Cluster 3  |  n = 1370,t1
20170504171339,Cluster 3  |  n = 1370,t1
20170504171359,Cluster 1  |  n = 1404,t1
20170504171364,Cluster 3  |  n = 1370,t1
20170504171368,Cluster 1  |  n = 1404,t1
20170504171372,Cluster 2  |  n = 307,t1
20170504171392,Cluster 1  |  n = 1404,t1
20170504171399,Cluster 3  |  n = 1370,t1
20170504171401,Cluster 1  |  n = 1404,t1
