t1,t2,n
Cluster 1,Cluster 1,965
Cluster 2,Cluster 1,160
Cluster 3,Cluster 1,405
Cluster 1,Cluster 2,143
Cluster 2,Cluster 2,108
Cluster 3,Cluster 2,33
Cluster 1,Cluster 3,102
Cluster 2,Cluster 3,18
Cluster 3,Cluster 3,247
Cluster 1,Cluster unmatched 1,260
Cluster 2,Cluster unmatched 1,33
Cluster 3,Cluster unmatched 1,599
Cluster 1,Cluster unmatched 2,28
Cluster 2,Cluster unmatched 2,5
Cluster 3,Cluster unmatched 2,85
