ID,cluster,time
20080504080934,Cluster 1  |  n = 1633,t1
20080504080936,Cluster 2  |  n = 1298,t1
20080504080943,Cluster 2  |  n = 1298,t1
20080504080952,Cluster 2  |  n = 1298,t1
20080504080957,Cluster 1  |  n = 1633,t1
20080504080969,Cluster 3  |  n = 395,t1
20080504080972,Cluster 1  |  n = 1633,t1
20080504080975,Cluster 2  |  n = 1298,t1
20080504080976,Cluster 2  |  n = 1298,t1
20080504080993,Cluster 2  |  n = 1298,t1
20080504080995,Cluster 2  |  n = 1298,t1
20080504080997,Cluster 3  |  n = 395,t1
20080504081001,Cluster 1  |  n = 1633,t1
20080504081013,Cluster 1  |  n = 1633,t1
20080504081014,Cluster 1  |  n = 1633,t1
20080504081025,Cluster 1  |  n = 1633,t1
20080504081029,Cluster 2  |  n = 1298,t1
20080504081031,Cluster 2  |  n = 1298,t1
20080504081032,Cluster 2  |  n = 1298,t1
20080504081046,Cluster 1  |  n = 1633,t1
20080504081047,Cluster 2  |  n = 1298,t1
20080504081055,Cluster 1  |  n = 1633,t1
20080504081065,Cluster 2  |  n = 1298,t1
20080504081073,Cluster 2  |  n = 1298,t1
20080504081077,Cluster 1  |  n = 1633,t1
20080504081078,Cluster 3  |  n = 395,t1
20080504081093,Cluster 1  |  n = 1633,t1
20080504081098,Cluster 1  |  n = 1633,t1
20080504081102,Cluster 1  |  n = 1633,t1
20080504081125,Cluster 2  |  n = 1298,t1
20080504081129,Cluster 2  |  n = 1298,t1
20080504081133,Cluster 2  |  n = 1298,t1
20080504081138,Cluster 1  |  n = 1633,t1
20080504081144,Cluster 1  |  n = 1633,t1
20080504081156,Cluster 1  |  n = 1633,t1
20080504081169,Cluster 2  |  n = 1298,t1
20080504081174,Cluster 1  |  n = 1633,t1
20080504081185,Cluster 2  |  n = 1298,t1
20080504081197,Cluster 1  |  n = 1633,t1
20080504081201,Cluster 2  |  n = 1298,t1
20080504081204,Cluster 2  |  n = 1298,t1
20080504081208,Cluster 1  |  n = 1633,t1
20080504081222,Cluster 2  |  n = 1298,t1
20080504081229,Cluster 2  |  n = 1298,t1
20080504081233,Cluster 1  |  n = 1633,t1
20080504081246,Cluster 3  |  n = 395,t1
20080504081253,Cluster 1  |  n = 1633,t1
20080504081258,Cluster 1  |  n = 1633,t1
20080504081275,Cluster 2  |  n = 1298,t1
20080504081276,Cluster 1  |  n = 1633,t1
20080504081279,Cluster 1  |  n = 1633,t1
20080504081294,Cluster 3  |  n = 395,t1
20080504081302,Cluster 1  |  n = 1633,t1
20080504081326,Cluster 1  |  n = 1633,t1
20080504081332,Cluster 1  |  n = 1633,t1
20080504081338,Cluster 2  |  n = 1298,t1
20080504081339,Cluster 1  |  n = 1633,t1
20080504081358,Cluster 1  |  n = 1633,t1
20080504081360,Cluster 1  |  n = 1633,t1
20080504081373,Cluster 3  |  n = 395,t1
20080504081377,Cluster 2  |  n = 1298,t1
20080504081390,Cluster 3  |  n = 395,t1
20080504081393,Cluster 3  |  n = 395,t1
20080504081400,Cluster 2  |  n = 1298,t1
20080504081409,Cluster 3  |  n = 395,t1
20080504081415,Cluster 2  |  n = 1298,t1
20080504081420,Cluster 1  |  n = 1633,t1
20080504081421,Cluster 1  |  n = 1633,t1
20080504081425,Cluster 1  |  n = 1633,t1
20080504081426,Cluster 2  |  n = 1298,t1
20080504081430,Cluster 2  |  n = 1298,t1
20080504081432,Cluster 1  |  n = 1633,t1
20080504081438,Cluster 2  |  n = 1298,t1
20080504081446,Cluster 2  |  n = 1298,t1
20080504081450,Cluster 1  |  n = 1633,t1
20080504081454,Cluster 2  |  n = 1298,t1
20080504081455,Cluster 3  |  n = 395,t1
20080504081465,Cluster 1  |  n = 1633,t1
20080504081475,Cluster 2  |  n = 1298,t1
20080504081490,Cluster 1  |  n = 1633,t1
20080504081493,Cluster 1  |  n = 1633,t1
20080504081494,Cluster 1  |  n = 1633,t1
20080504081508,Cluster 2  |  n = 1298,t1
20080504081515,Cluster 1  |  n = 1633,t1
20080504081519,Cluster 1  |  n = 1633,t1
20080504081532,Cluster 2  |  n = 1298,t1
20080504081537,Cluster 1  |  n = 1633,t1
20080504081551,Cluster 2  |  n = 1298,t1
20080504081563,Cluster 2  |  n = 1298,t1
20080504081576,Cluster 3  |  n = 395,t1
20080504081582,Cluster 1  |  n = 1633,t1
20080504081584,Cluster 2  |  n = 1298,t1
20080504081593,Cluster 1  |  n = 1633,t1
20080504081599,Cluster 1  |  n = 1633,t1
20080504081600,Cluster 1  |  n = 1633,t1
20080504081602,Cluster 3  |  n = 395,t1
20080504081605,Cluster 1  |  n = 1633,t1
20080504081617,Cluster 2  |  n = 1298,t1
20080504081633,Cluster 3  |  n = 395,t1
20080504081642,Cluster 2  |  n = 1298,t1
20080504081651,Cluster 1  |  n = 1633,t1
20080504081673,Cluster 1  |  n = 1633,t1
20080504081675,Cluster 2  |  n = 1298,t1
20080504081679,Cluster 1  |  n = 1633,t1
20080504081680,Cluster 1  |  n = 1633,t1
20080504081684,Cluster 2  |  n = 1298,t1
20080504081688,Cluster 1  |  n = 1633,t1
20080504081702,Cluster 1  |  n = 1633,t1
20080504081703,Cluster 2  |  n = 1298,t1
20080504081708,Cluster 1  |  n = 1633,t1
20080504081710,Cluster 1  |  n = 1633,t1
20080504081716,Cluster 1  |  n = 1633,t1
20080504081720,Cluster 3  |  n = 395,t1
20080504081737,Cluster 1  |  n = 1633,t1
20080504081740,Cluster 2  |  n = 1298,t1
20080504081753,Cluster 3  |  n = 395,t1
20080504081759,Cluster 1  |  n = 1633,t1
20080504081761,Cluster 3  |  n = 395,t1
20080504081767,Cluster 1  |  n = 1633,t1
20080504081768,Cluster 3  |  n = 395,t1
20080504081773,Cluster 1  |  n = 1633,t1
20080504081778,Cluster 2  |  n = 1298,t1
20080504081782,Cluster 1  |  n = 1633,t1
20080504081793,Cluster 1  |  n = 1633,t1
20080504081795,Cluster 1  |  n = 1633,t1
