ID,pair_id,cluster,time
20060504060612,NA,Cluster 1  |  n = 1650,t1
20060504060616,NA,Cluster 1  |  n = 1650,t1
20060504060626,NA,Cluster 4  |  n = 1111,t1
20060504060661,NA,Cluster 1  |  n = 1650,t1
20060504060667,NA,Cluster 1  |  n = 1650,t1
20060504060673,NA,Cluster 4  |  n = 1111,t1
20060504060698,NA,Cluster 1  |  n = 1650,t1
20060504060714,NA,Cluster 3  |  n = 158,t1
20060504060717,NA,Cluster 4  |  n = 1111,t1
20060504060728,NA,Cluster 1  |  n = 1650,t1
20060504060730,NA,Cluster 4  |  n = 1111,t1
20060504060731,NA,Cluster 1  |  n = 1650,t1
20060504060733,NA,Cluster 1  |  n = 1650,t1
20060504060734,NA,Cluster 4  |  n = 1111,t1
20060504060737,NA,Cluster 1  |  n = 1650,t1
20060504060739,NA,Cluster 1  |  n = 1650,t1
20060504060742,NA,Cluster 1  |  n = 1650,t1
20060504060746,NA,Cluster 1  |  n = 1650,t1
20060504060747,NA,Cluster 2  |  n = 446,t1
20060504060754,NA,Cluster 1  |  n = 1650,t1
20060504060755,NA,Cluster 1  |  n = 1650,t1
20060504060756,NA,Cluster 1  |  n = 1650,t1
20060504060759,NA,Cluster 3  |  n = 158,t1
20060504060764,NA,Cluster 2  |  n = 446,t1
20060504060768,NA,Cluster 1  |  n = 1650,t1
20060504060802,NA,Cluster 1  |  n = 1650,t1
20060504060805,NA,Cluster 4  |  n = 1111,t1
20060504060809,NA,Cluster 1  |  n = 1650,t1
20060504060810,NA,Cluster 4  |  n = 1111,t1
20060504060812,NA,Cluster 2  |  n = 446,t1
20060504060813,NA,Cluster 4  |  n = 1111,t1
20060504060817,NA,Cluster 2  |  n = 446,t1
20060504060824,NA,Cluster 4  |  n = 1111,t1
20060504060827,NA,Cluster 2  |  n = 446,t1
20060504060845,NA,Cluster 1  |  n = 1650,t1
20060504060848,NA,Cluster 1  |  n = 1650,t1
20060504060865,NA,Cluster 1  |  n = 1650,t1
20060504060868,NA,Cluster 4  |  n = 1111,t1
20060504060869,NA,Cluster 1  |  n = 1650,t1
20060504060875,NA,Cluster 1  |  n = 1650,t1
20060504060882,NA,Cluster 4  |  n = 1111,t1
20060504060885,NA,Cluster 4  |  n = 1111,t1
20060504060886,NA,Cluster 1  |  n = 1650,t1
20060504060889,NA,Cluster 1  |  n = 1650,t1
20060504060893,NA,Cluster 1  |  n = 1650,t1
20060504060896,NA,Cluster 1  |  n = 1650,t1
20060504060900,NA,Cluster 1  |  n = 1650,t1
20060504060907,NA,Cluster 1  |  n = 1650,t1
20060504060910,NA,Cluster 4  |  n = 1111,t1
20060504060911,NA,Cluster 1  |  n = 1650,t1
20060504060912,NA,Cluster 4  |  n = 1111,t1
20060504060959,NA,Cluster 1  |  n = 1650,t1
20060504060969,NA,Cluster 1  |  n = 1650,t1
20060504060970,NA,Cluster 1  |  n = 1650,t1
20060504060973,NA,Cluster 3  |  n = 158,t1
20060504060974,NA,Cluster 4  |  n = 1111,t1
