ID,pair_id,cluster,time
20120101120068,NA,Cluster 2  | n =  1105,t1
20120101120097,NA,Cluster 2  | n =  1105,t1
20120101120106,NA,Cluster 2  | n =  1105,t1
20120101120135,NA,Cluster 4  | n =  1634,t1
20120101120147,NA,Cluster 1  | n =  2807,t1
20120101120154,NA,Cluster 2  | n =  1105,t1
20120101120156,NA,Cluster 1  | n =  2807,t1
20120101120187,NA,Cluster 1  | n =  2807,t1
20120101120506,NA,Cluster 1  | n =  2807,t1
20120101120508,NA,Cluster 1  | n =  2807,t1
20120101120513,NA,Cluster 4  | n =  1634,t1
20120101120547,NA,Cluster 2  | n =  1105,t1
20120101120601,NA,Cluster 1  | n =  2807,t1
20120101120604,NA,Cluster 4  | n =  1634,t1
20120101120621,NA,Cluster 4  | n =  1634,t1
20120101120638,NA,Cluster 4  | n =  1634,t1
20120101120640,NA,Cluster 1  | n =  2807,t1
20120101120664,NA,Cluster 2  | n =  1105,t1
20120101120674,NA,Cluster 4  | n =  1634,t1
20120101120719,NA,Cluster 1  | n =  2807,t1
20120101120757,NA,Cluster 2  | n =  1105,t1
20120101120788,NA,Cluster 2  | n =  1105,t1
20120101120794,NA,Cluster 4  | n =  1634,t1
20120101120819,NA,Cluster 2  | n =  1105,t1
20120101120822,NA,Cluster 4  | n =  1634,t1
20120101120827,NA,Cluster 1  | n =  2807,t1
20120101120846,NA,Cluster 1  | n =  2807,t1
20120101120864,NA,Cluster 1  | n =  2807,t1
20120101120873,NA,Cluster 1  | n =  2807,t1
20120101120880,NA,Cluster 1  | n =  2807,t1
20120101120881,NA,Cluster 1  | n =  2807,t1
20120101120889,NA,Cluster 2  | n =  1105,t1
20120101120903,NA,Cluster 2  | n =  1105,t1
20120101120910,NA,Cluster 4  | n =  1634,t1
20120101120935,NA,Cluster 1  | n =  2807,t1
20120101120940,NA,Cluster 4  | n =  1634,t1
20120101120949,NA,Cluster 1  | n =  2807,t1
20120101120961,NA,Cluster 1  | n =  2807,t1
20120101120966,NA,Cluster 1  | n =  2807,t1
20120101120986,NA,Cluster 1  | n =  2807,t1
20120101121010,NA,Cluster 1  | n =  2807,t1
20120101121018,NA,Cluster 4  | n =  1634,t1
20120101121021,NA,Cluster 4  | n =  1634,t1
20120101121038,NA,Cluster 2  | n =  1105,t1
20120101121040,NA,Cluster 1  | n =  2807,t1
20120101121043,NA,Cluster 2  | n =  1105,t1
20120101121052,NA,Cluster 2  | n =  1105,t1
20120101121080,NA,Cluster 1  | n =  2807,t1
20120101121081,NA,Cluster 1  | n =  2807,t1
20120101121101,NA,Cluster 1  | n =  2807,t1
20120101121115,NA,Cluster 1  | n =  2807,t1
20120101121117,NA,Cluster 1  | n =  2807,t1
20120101121124,NA,Cluster 4  | n =  1634,t1
20120101121130,NA,Cluster 1  | n =  2807,t1
20120101121145,NA,Cluster 2  | n =  1105,t1
20120101121169,NA,Cluster 1  | n =  2807,t1
20120101121180,NA,Cluster 2  | n =  1105,t1
20120101121213,NA,Cluster 1  | n =  2807,t1
20120101121226,NA,Cluster 1  | n =  2807,t1
20120101121232,NA,Cluster 4  | n =  1634,t1
20120101121254,NA,Cluster 1  | n =  2807,t1
20120101121264,NA,Cluster 1  | n =  2807,t1
20120101121277,NA,Cluster 1  | n =  2807,t1
20120101121324,NA,Cluster 4  | n =  1634,t1
20120101121330,NA,Cluster 2  | n =  1105,t1
20120101121351,NA,Cluster 1  | n =  2807,t1
20120101121356,NA,Cluster 1  | n =  2807,t1
20120101121364,NA,Cluster 2  | n =  1105,t1
20120101121377,NA,Cluster 4  | n =  1634,t1
20120101121408,NA,Cluster 4  | n =  1634,t1
20120101121421,NA,Cluster 2  | n =  1105,t1
20120101121441,NA,Cluster 4  | n =  1634,t1
20120101121445,NA,Cluster 2  | n =  1105,t1
20120101121483,NA,Cluster 2  | n =  1105,t1
20120101121524,NA,Cluster 2  | n =  1105,t1
20120101121540,NA,Cluster 4  | n =  1634,t1
20120101121622,NA,Cluster 4  | n =  1634,t1
20120101121657,NA,Cluster 1  | n =  2807,t1
20120101121682,NA,Cluster 2  | n =  1105,t1
20120101121734,NA,Cluster 2  | n =  1105,t1
20120101121741,NA,Cluster 4  | n =  1634,t1
20120101121758,NA,Cluster 3  | n =  245,t1
20120101121774,NA,Cluster 1  | n =  2807,t1
20120101121783,NA,Cluster 1  | n =  2807,t1
20120101121800,NA,Cluster 1  | n =  2807,t1
20120101121874,NA,Cluster 1  | n =  2807,t1
20120101121881,NA,Cluster 1  | n =  2807,t1
20120101121908,NA,Cluster 3  | n =  245,t1
20120101121918,NA,Cluster 2  | n =  1105,t1
20120101121924,NA,Cluster 1  | n =  2807,t1
20120101121988,NA,Cluster 2  | n =  1105,t1
20120101121994,NA,Cluster 1  | n =  2807,t1
20120101122005,NA,Cluster 4  | n =  1634,t1
20120101122035,NA,Cluster 1  | n =  2807,t1
20120101122058,NA,Cluster 4  | n =  1634,t1
20120101122073,NA,Cluster 1  | n =  2807,t1
20120101122083,NA,Cluster 4  | n =  1634,t1
20120101122166,NA,Cluster 4  | n =  1634,t1
20120101122187,NA,Cluster 2  | n =  1105,t1
20120101122217,NA,Cluster 3  | n =  245,t1
20120101122229,NA,Cluster 3  | n =  245,t1
20120101122232,NA,Cluster 1  | n =  2807,t1
20120101122254,NA,Cluster 4  | n =  1634,t1
20120101122296,NA,Cluster 1  | n =  2807,t1
20120101122309,NA,Cluster 1  | n =  2807,t1
20120101122322,NA,Cluster 2  | n =  1105,t1
20120101122365,NA,Cluster 2  | n =  1105,t1
20120101122410,NA,Cluster 2  | n =  1105,t1
20120101122455,NA,Cluster 1  | n =  2807,t1
20120101122456,NA,Cluster 4  | n =  1634,t1
20120101122466,NA,Cluster 4  | n =  1634,t1
20120101122469,NA,Cluster 1  | n =  2807,t1
20120101122499,NA,Cluster 1  | n =  2807,t1
20120110110510,NA,Cluster 1  | n =  2807,t1
20120110110543,NA,Cluster 1  | n =  2807,t1
20120110111205,NA,Cluster 2  | n =  1105,t1
20120110112441,NA,Cluster 1  | n =  2807,t1
20120111110008,NA,Cluster 1  | n =  2807,t1
20120111110116,NA,Cluster 1  | n =  2807,t1
20120111110141,NA,Cluster 1  | n =  2807,t1
20120111110166,NA,Cluster 2  | n =  1105,t1
20120111110511,NA,Cluster 2  | n =  1105,t1
20120111110538,NA,Cluster 2  | n =  1105,t1
20120111110560,NA,Cluster 1  | n =  2807,t1
20120111110572,NA,Cluster 3  | n =  245,t1
20120111110584,NA,Cluster 4  | n =  1634,t1
20120111110599,NA,Cluster 2  | n =  1105,t1
20120111110621,NA,Cluster 1  | n =  2807,t1
20120111110651,NA,Cluster 2  | n =  1105,t1
20120111110652,NA,Cluster 1  | n =  2807,t1
20120111110702,NA,Cluster 1  | n =  2807,t1
20120111110806,NA,Cluster 1  | n =  2807,t1
20120111110813,NA,Cluster 4  | n =  1634,t1
20120111110825,NA,Cluster 1  | n =  2807,t1
20120111110842,NA,Cluster 1  | n =  2807,t1
20120111110853,NA,Cluster 4  | n =  1634,t1
20120111110864,NA,Cluster 1  | n =  2807,t1
20120111110870,NA,Cluster 3  | n =  245,t1
20120111110901,NA,Cluster 1  | n =  2807,t1
20120111110985,NA,Cluster 1  | n =  2807,t1
20120111110990,NA,Cluster 2  | n =  1105,t1
20120111111004,NA,Cluster 3  | n =  245,t1
20120111111022,NA,Cluster 2  | n =  1105,t1
20120111111062,NA,Cluster 4  | n =  1634,t1
20120111111064,NA,Cluster 2  | n =  1105,t1
20120111111076,NA,Cluster 1  | n =  2807,t1
20120111111084,NA,Cluster 3  | n =  245,t1
20120111111087,NA,Cluster 4  | n =  1634,t1
20120111111114,NA,Cluster 4  | n =  1634,t1
20120111111152,NA,Cluster 4  | n =  1634,t1
20120111111168,NA,Cluster 1  | n =  2807,t1
20120111111181,NA,Cluster 2  | n =  1105,t1
20120111111209,NA,Cluster 1  | n =  2807,t1
20120111111231,NA,Cluster 1  | n =  2807,t1
20120111111246,NA,Cluster 3  | n =  245,t1
20120111111261,NA,Cluster 1  | n =  2807,t1
20120111111279,NA,Cluster 1  | n =  2807,t1
20120111111303,NA,Cluster 4  | n =  1634,t1
20120111111312,NA,Cluster 1  | n =  2807,t1
