t1,t2,n
Cluster 1,Cluster 1,5
Cluster 2,Cluster 1,119
Cluster 3,Cluster 1,127
Cluster 4,Cluster 1,29
Cluster 5,Cluster 1,226
Cluster 6,Cluster 1,150
Cluster 1,Cluster 2,63
Cluster 2,Cluster 2,2021
Cluster 3,Cluster 2,118
Cluster 4,Cluster 2,22
Cluster 5,Cluster 2,161
Cluster 6,Cluster 2,205
Cluster 1,Cluster 3,5
Cluster 2,Cluster 3,88
Cluster 3,Cluster 3,256
Cluster 4,Cluster 3,48
Cluster 5,Cluster 3,381
Cluster 6,Cluster 3,191
Cluster 1,Cluster 4,1
Cluster 2,Cluster 4,32
Cluster 3,Cluster 4,25
Cluster 4,Cluster 4,84
Cluster 5,Cluster 4,42
Cluster 6,Cluster 4,19
Cluster 1,Cluster 6,1
Cluster 2,Cluster 6,158
Cluster 3,Cluster 6,124
Cluster 4,Cluster 6,22
Cluster 5,Cluster 6,232
Cluster 6,Cluster 6,316
