ID,cluster,time
20110502110683,Cluster 1  |  n = 176,t1
20110502110880,Cluster 2  |  n = 1457,t1
20110502111780,Cluster 3  |  n = 1794,t1
20110502111831,Cluster 1  |  n = 176,t1
20110502111889,Cluster 2  |  n = 1457,t1
20110502112024,Cluster 4  |  n = 419,t1
20110502112236,Cluster 3  |  n = 1794,t1
20110502112496,Cluster 3  |  n = 1794,t1
20110503110055,Cluster 2  |  n = 1457,t1
20110503110064,Cluster 3  |  n = 1794,t1
20110503110111,Cluster 2  |  n = 1457,t1
20110503110543,Cluster 4  |  n = 419,t1
20110503110598,Cluster 2  |  n = 1457,t1
20110503110647,Cluster 3  |  n = 1794,t1
20110503110648,Cluster 3  |  n = 1794,t1
20110503110662,Cluster 2  |  n = 1457,t1
20110503110664,Cluster 2  |  n = 1457,t1
20110503110674,Cluster 3  |  n = 1794,t1
20110503110717,Cluster 2  |  n = 1457,t1
20110503110762,Cluster 2  |  n = 1457,t1
20110503110796,Cluster 2  |  n = 1457,t1
20110503110809,Cluster 3  |  n = 1794,t1
20110503110896,Cluster 3  |  n = 1794,t1
20110503110910,Cluster 3  |  n = 1794,t1
20110503110957,Cluster 3  |  n = 1794,t1
20110503110976,Cluster 2  |  n = 1457,t1
20110503110979,Cluster 1  |  n = 176,t1
20110503111010,Cluster 3  |  n = 1794,t1
20110503111033,Cluster 3  |  n = 1794,t1
20110503111042,Cluster 3  |  n = 1794,t1
20110503111077,Cluster 3  |  n = 1794,t1
20110503111082,Cluster 3  |  n = 1794,t1
20110503111118,Cluster 1  |  n = 176,t1
20110503111152,Cluster 2  |  n = 1457,t1
20110503111192,Cluster 3  |  n = 1794,t1
20110503111268,Cluster 2  |  n = 1457,t1
20110503111303,Cluster 3  |  n = 1794,t1
20110503111324,Cluster 3  |  n = 1794,t1
20110503111364,Cluster 2  |  n = 1457,t1
20110503111384,Cluster 4  |  n = 419,t1
20110503111389,Cluster 4  |  n = 419,t1
20110503111420,Cluster 3  |  n = 1794,t1
20110503111431,Cluster 2  |  n = 1457,t1
20110503111470,Cluster 3  |  n = 1794,t1
20110503111495,Cluster 2  |  n = 1457,t1
20110503111546,Cluster 3  |  n = 1794,t1
20110503111605,Cluster 3  |  n = 1794,t1
20110503111625,Cluster 3  |  n = 1794,t1
20110503111628,Cluster 3  |  n = 1794,t1
20110503111630,Cluster 3  |  n = 1794,t1
20110503111680,Cluster 3  |  n = 1794,t1
20110503111710,Cluster 3  |  n = 1794,t1
20110503111750,Cluster 2  |  n = 1457,t1
20110503111752,Cluster 2  |  n = 1457,t1
20110503111755,Cluster 3  |  n = 1794,t1
20110503111769,Cluster 3  |  n = 1794,t1
20110503111780,Cluster 2  |  n = 1457,t1
20110503111841,Cluster 2  |  n = 1457,t1
20110503111901,Cluster 3  |  n = 1794,t1
20110503112004,Cluster 3  |  n = 1794,t1
20110503112024,Cluster 1  |  n = 176,t1
20110503112029,Cluster 3  |  n = 1794,t1
20110503112067,Cluster 4  |  n = 419,t1
20110503112097,Cluster 2  |  n = 1457,t1
20110503112145,Cluster 3  |  n = 1794,t1
20110503112179,Cluster 3  |  n = 1794,t1
20110503112180,Cluster 2  |  n = 1457,t1
20110503112206,Cluster 3  |  n = 1794,t1
20110503112236,Cluster 3  |  n = 1794,t1
20110503112262,Cluster 2  |  n = 1457,t1
20110503112282,Cluster 3  |  n = 1794,t1
20110503112333,Cluster 3  |  n = 1794,t1
20110503112334,Cluster 3  |  n = 1794,t1
20110503112345,Cluster 2  |  n = 1457,t1
20110503112357,Cluster 2  |  n = 1457,t1
20110503112382,Cluster 2  |  n = 1457,t1
20110503112387,Cluster 3  |  n = 1794,t1
20110503112396,Cluster 3  |  n = 1794,t1
20110503112468,Cluster 2  |  n = 1457,t1
20110503112474,Cluster 3  |  n = 1794,t1
20110503112503,Cluster 2  |  n = 1457,t1
20110503112517,Cluster 3  |  n = 1794,t1
20110503112537,Cluster 2  |  n = 1457,t1
20110504110008,Cluster 3  |  n = 1794,t1
20110504110009,Cluster 3  |  n = 1794,t1
20110504110012,Cluster 2  |  n = 1457,t1
20110504110017,Cluster 3  |  n = 1794,t1
20110504110030,Cluster 3  |  n = 1794,t1
20110504110032,Cluster 2  |  n = 1457,t1
20110504110038,Cluster 1  |  n = 176,t1
20110504110056,Cluster 2  |  n = 1457,t1
20110504110062,Cluster 2  |  n = 1457,t1
20110504110069,Cluster 4  |  n = 419,t1
