t1,t2,n
Cluster 1,Cluster 1,1953
Cluster 2,Cluster 1,151
Cluster 3,Cluster 1,18
Cluster 4,Cluster 1,309
Cluster 1,Cluster 3,24
Cluster 2,Cluster 3,16
Cluster 3,Cluster 3,88
Cluster 4,Cluster 3,72
Cluster 1,Cluster 4,467
Cluster 2,Cluster 4,562
Cluster 3,Cluster 4,69
Cluster 4,Cluster 4,1334
