t1,t2,n
Cluster 1,Cluster 1,1022
Cluster 2,Cluster 1,49
Cluster 3,Cluster 1,192
Cluster 1,Cluster 2,103
Cluster 2,Cluster 2,195
Cluster 3,Cluster 2,373
Cluster 1,Cluster 3,52
Cluster 2,Cluster 3,72
Cluster 3,Cluster 3,142
Cluster 1,Cluster unmatched 1,12
Cluster 2,Cluster unmatched 1,8
Cluster 3,Cluster unmatched 1,44
Cluster 1,Cluster unmatched 2,63
Cluster 2,Cluster unmatched 2,85
Cluster 3,Cluster unmatched 2,181
Cluster 1,Cluster unmatched 3,42
Cluster 2,Cluster unmatched 3,12
Cluster 3,Cluster unmatched 3,61
Cluster 1,Cluster unmatched 4,20
Cluster 2,Cluster unmatched 4,1
Cluster 3,Cluster unmatched 4,4
