ID,cluster,time
20070502070072,Cluster 1  |  n = 1215,t1
20070502070510,Cluster 1  |  n = 1215,t1
20070503070003,Cluster 1  |  n = 1215,t1
20070503070015,Cluster 2  |  n = 1616,t1
20070503070502,Cluster 3  |  n = 409,t1
20070503070609,Cluster 3  |  n = 409,t1
20070503070622,Cluster 1  |  n = 1215,t1
20070503070641,Cluster 2  |  n = 1616,t1
20070503070670,Cluster 2  |  n = 1616,t1
20070503070746,Cluster 2  |  n = 1616,t1
20070503070793,Cluster 2  |  n = 1616,t1
20070503070808,Cluster 2  |  n = 1616,t1
20070503070851,Cluster 2  |  n = 1616,t1
20070503070872,Cluster 2  |  n = 1616,t1
20070503070874,Cluster 2  |  n = 1616,t1
20070503070875,Cluster 1  |  n = 1215,t1
20070503071077,Cluster 1  |  n = 1215,t1
20070503071109,Cluster 2  |  n = 1616,t1
20070503071117,Cluster 2  |  n = 1616,t1
20070503071150,Cluster 2  |  n = 1616,t1
20070503071165,Cluster 1  |  n = 1215,t1
20070503071189,Cluster 2  |  n = 1616,t1
20070503071193,Cluster 2  |  n = 1616,t1
20070503071212,Cluster 2  |  n = 1616,t1
20070503071270,Cluster 2  |  n = 1616,t1
20070503071308,Cluster 2  |  n = 1616,t1
20070503071381,Cluster 2  |  n = 1616,t1
20070503071426,Cluster 2  |  n = 1616,t1
20070503071468,Cluster 2  |  n = 1616,t1
20070503071507,Cluster 3  |  n = 409,t1
20070503071526,Cluster 1  |  n = 1215,t1
20070503071573,Cluster 2  |  n = 1616,t1
20070503071617,Cluster 1  |  n = 1215,t1
20070503071668,Cluster 2  |  n = 1616,t1
20070503071669,Cluster 2  |  n = 1616,t1
20070503071712,Cluster 1  |  n = 1215,t1
20070503071748,Cluster 1  |  n = 1215,t1
20070503071767,Cluster 3  |  n = 409,t1
20070503071812,Cluster 2  |  n = 1616,t1
20070503071818,Cluster 1  |  n = 1215,t1
20070503071834,Cluster 1  |  n = 1215,t1
20070503071931,Cluster 2  |  n = 1616,t1
20070503072000,Cluster 2  |  n = 1616,t1
20070503072024,Cluster 1  |  n = 1215,t1
20070503072062,Cluster 1  |  n = 1215,t1
20070503072085,Cluster 2  |  n = 1616,t1
20070503072095,Cluster 1  |  n = 1215,t1
20070503072281,Cluster 2  |  n = 1616,t1
20070503072341,Cluster 2  |  n = 1616,t1
20070503072368,Cluster 2  |  n = 1616,t1
20070503072372,Cluster 2  |  n = 1616,t1
20070503072394,Cluster 2  |  n = 1616,t1
20070503072436,Cluster 2  |  n = 1616,t1
20070504070039,Cluster 1  |  n = 1215,t1
20070504070079,Cluster 3  |  n = 409,t1
20070504070084,Cluster 2  |  n = 1616,t1
20070504070091,Cluster 3  |  n = 409,t1
20070504070113,Cluster 2  |  n = 1616,t1
20070504070135,Cluster 2  |  n = 1616,t1
20070504070502,Cluster 1  |  n = 1215,t1
20070504070518,Cluster 2  |  n = 1616,t1
20070504070531,Cluster 2  |  n = 1616,t1
20070504070535,Cluster 1  |  n = 1215,t1
20070504070537,Cluster 1  |  n = 1215,t1
20070504070556,Cluster 1  |  n = 1215,t1
20070504070560,Cluster 3  |  n = 409,t1
20070504070579,Cluster 2  |  n = 1616,t1
20070504070591,Cluster 2  |  n = 1616,t1
20070504070598,Cluster 2  |  n = 1616,t1
20070504070602,Cluster 2  |  n = 1616,t1
20070504070607,Cluster 1  |  n = 1215,t1
20070504070612,Cluster 1  |  n = 1215,t1
20070504070617,Cluster 1  |  n = 1215,t1
20070504070619,Cluster 3  |  n = 409,t1
20070504070622,Cluster 2  |  n = 1616,t1
20070504070623,Cluster 2  |  n = 1616,t1
20070504070632,Cluster 2  |  n = 1616,t1
20070504070636,Cluster 2  |  n = 1616,t1
20070504070638,Cluster 1  |  n = 1215,t1
20070504070639,Cluster 1  |  n = 1215,t1
20070504070651,Cluster 2  |  n = 1616,t1
20070504070652,Cluster 2  |  n = 1616,t1
20070504070662,Cluster 1  |  n = 1215,t1
20070504070669,Cluster 2  |  n = 1616,t1
20070504070670,Cluster 2  |  n = 1616,t1
20070504070672,Cluster 1  |  n = 1215,t1
20070504070685,Cluster 2  |  n = 1616,t1
20070504070692,Cluster 2  |  n = 1616,t1
