ID,pair_id,cluster,time
20160502161042,NA,Cluster 3  |  n = 1462,t1
20160502161067,NA,Cluster 1  |  n = 1424,t1
20160503160547,NA,Cluster 1  |  n = 1424,t1
20160503160582,NA,Cluster 3  |  n = 1462,t1
20160503160657,NA,Cluster 1  |  n = 1424,t1
20160503160700,NA,Cluster 3  |  n = 1462,t1
20160503160724,NA,Cluster 3  |  n = 1462,t1
20160503160775,NA,Cluster 3  |  n = 1462,t1
20160503160847,NA,Cluster 1  |  n = 1424,t1
20160503160864,NA,Cluster 3  |  n = 1462,t1
20160503160881,NA,Cluster 1  |  n = 1424,t1
20160503160924,NA,Cluster 1  |  n = 1424,t1
20160503160941,NA,Cluster 3  |  n = 1462,t1
20160503160972,NA,Cluster 2  |  n = 317,t1
20160503161020,NA,Cluster 3  |  n = 1462,t1
20160503161045,NA,Cluster 2  |  n = 317,t1
20160503161046,NA,Cluster 1  |  n = 1424,t1
20160503161149,NA,Cluster 1  |  n = 1424,t1
20160503161161,NA,Cluster 1  |  n = 1424,t1
20160503161214,NA,Cluster 1  |  n = 1424,t1
20160503161239,NA,Cluster 1  |  n = 1424,t1
20160503161310,NA,Cluster 1  |  n = 1424,t1
20160503161312,NA,Cluster 1  |  n = 1424,t1
20160503161349,NA,Cluster 1  |  n = 1424,t1
20160503161356,NA,Cluster 1  |  n = 1424,t1
20160503161361,NA,Cluster 3  |  n = 1462,t1
20160503161386,NA,Cluster 3  |  n = 1462,t1
20160503161411,NA,Cluster 3  |  n = 1462,t1
20160503161416,NA,Cluster 1  |  n = 1424,t1
20160503161417,NA,Cluster 1  |  n = 1424,t1
20160503161423,NA,Cluster 3  |  n = 1462,t1
20160503161426,NA,Cluster 3  |  n = 1462,t1
20160503161431,NA,Cluster 1  |  n = 1424,t1
20160503161449,NA,Cluster 1  |  n = 1424,t1
20160503161482,NA,Cluster 3  |  n = 1462,t1
20160503161529,NA,Cluster 3  |  n = 1462,t1
20160503161574,NA,Cluster 1  |  n = 1424,t1
20160503161587,NA,Cluster 1  |  n = 1424,t1
20160503161715,NA,Cluster 3  |  n = 1462,t1
20160503161718,NA,Cluster 1  |  n = 1424,t1
20160503161762,NA,Cluster 1  |  n = 1424,t1
20160503161781,NA,Cluster 2  |  n = 317,t1
20160503161790,NA,Cluster 3  |  n = 1462,t1
20160503161842,NA,Cluster 3  |  n = 1462,t1
20160503161843,NA,Cluster 1  |  n = 1424,t1
20160503161873,NA,Cluster 3  |  n = 1462,t1
20160503161958,NA,Cluster 1  |  n = 1424,t1
20160503161975,NA,Cluster 1  |  n = 1424,t1
20160503162035,NA,Cluster 3  |  n = 1462,t1
20160503162097,NA,Cluster 1  |  n = 1424,t1
20160503162104,NA,Cluster 1  |  n = 1424,t1
20160503162119,NA,Cluster 3  |  n = 1462,t1
20160503162123,NA,Cluster 1  |  n = 1424,t1
20160503162176,NA,Cluster 1  |  n = 1424,t1
20160503162184,NA,Cluster 1  |  n = 1424,t1
20160503162191,NA,Cluster 3  |  n = 1462,t1
20160503162223,NA,Cluster 1  |  n = 1424,t1
20160503162227,NA,Cluster 2  |  n = 317,t1
20160503162249,NA,Cluster 3  |  n = 1462,t1
20160503162250,NA,Cluster 3  |  n = 1462,t1
20160503162260,NA,Cluster 1  |  n = 1424,t1
20160503162374,NA,Cluster 1  |  n = 1424,t1
20160503162387,NA,Cluster 1  |  n = 1424,t1
20160503162459,NA,Cluster 1  |  n = 1424,t1
20160503162471,NA,Cluster 1  |  n = 1424,t1
20160503162508,NA,Cluster 3  |  n = 1462,t1
20160503162530,NA,Cluster 3  |  n = 1462,t1
20160504160015,NA,Cluster 1  |  n = 1424,t1
20160504160021,NA,Cluster 1  |  n = 1424,t1
20160504160029,NA,Cluster 1  |  n = 1424,t1
20160504160038,NA,Cluster 3  |  n = 1462,t1
20160504160071,NA,Cluster 3  |  n = 1462,t1
20160504160092,NA,Cluster 3  |  n = 1462,t1
20160504160094,NA,Cluster 1  |  n = 1424,t1
20160504160125,NA,Cluster 1  |  n = 1424,t1
20160504160142,NA,Cluster 2  |  n = 317,t1
20160504160515,NA,Cluster 3  |  n = 1462,t1
20160504160521,NA,Cluster 1  |  n = 1424,t1
20160504160526,NA,Cluster 1  |  n = 1424,t1
20160504160539,NA,Cluster 1  |  n = 1424,t1
20160504160542,NA,Cluster 1  |  n = 1424,t1
20160504160550,NA,Cluster 3  |  n = 1462,t1
20160504160555,NA,Cluster 1  |  n = 1424,t1
20160504160610,NA,Cluster 3  |  n = 1462,t1
20160504160619,NA,Cluster 2  |  n = 317,t1
20160504160624,NA,Cluster 1  |  n = 1424,t1
