t1,t2,n
Cluster 1,Cluster 1,827
Cluster 2,Cluster 1,122
Cluster 3,Cluster 1,356
Cluster 1,Cluster 2,127
Cluster 2,Cluster 2,95
Cluster 3,Cluster 2,18
Cluster 1,Cluster 3,370
Cluster 2,Cluster 3,44
Cluster 3,Cluster 3,903
