t1,t2,n
Cluster 1,Cluster 1,1657
Cluster 2,Cluster 1,59
Cluster 3,Cluster 1,806
Cluster 1,Cluster 2,59
Cluster 2,Cluster 2,109
Cluster 3,Cluster 2,84
Cluster 1,Cluster 3,256
Cluster 2,Cluster 3,17
Cluster 3,Cluster 3,471
Cluster 1,Cluster unmatched 1,282
Cluster 2,Cluster unmatched 1,45
Cluster 3,Cluster unmatched 1,426
Cluster 1,Cluster unmatched 2,325
Cluster 2,Cluster unmatched 2,11
Cluster 3,Cluster unmatched 2,385
