t1,t2,n
Cluster 1,Cluster 1,1545
Cluster 2,Cluster 1,202
Cluster 3,Cluster 1,30
Cluster 4,Cluster 1,637
Cluster 1,Cluster 2,244
Cluster 2,Cluster 2,208
Cluster 3,Cluster 2,22
Cluster 4,Cluster 2,379
Cluster 1,Cluster 3,54
Cluster 2,Cluster 3,21
Cluster 3,Cluster 3,88
Cluster 4,Cluster 3,43
Cluster 1,Cluster 4,302
Cluster 2,Cluster 4,122
Cluster 3,Cluster 4,13
Cluster 4,Cluster 4,388
Cluster 1,Cluster unmatched 1,260
Cluster 2,Cluster unmatched 1,127
Cluster 3,Cluster unmatched 1,33
Cluster 4,Cluster unmatched 1,300
