ID,pair_id,cluster,time
20090101090640,1,Cluster 1  | n =  2599,t1
20090101090643,2,Cluster 1  | n =  2599,t1
20090101090644,3,Cluster 4  | n =  1805,t1
20090101090755,4,Cluster 1  | n =  2599,t1
20090101090793,5,Cluster 1  | n =  2599,t1
20090101090798,6,Cluster 4  | n =  1805,t1
20090101090845,7,Cluster 2  | n =  632,t1
20090101090878,8,Cluster 4  | n =  1805,t1
20090101090944,9,Cluster 4  | n =  1805,t1
20090101090991,10,Cluster 1  | n =  2599,t1
20090101091015,11,Cluster 4  | n =  1805,t1
20090101091025,12,Cluster 1  | n =  2599,t1
20090101091029,13,Cluster 1  | n =  2599,t1
20090101091034,14,Cluster 3  | n =  254,t1
20090101091059,15,Cluster 1  | n =  2599,t1
20090101091085,16,Cluster 1  | n =  2599,t1
20090101091112,17,Cluster 2  | n =  632,t1
20090101091134,18,Cluster 4  | n =  1805,t1
20090101091153,19,Cluster 4  | n =  1805,t1
20090101091184,20,Cluster 4  | n =  1805,t1
20090101091218,21,Cluster 4  | n =  1805,t1
20090101091238,22,Cluster 4  | n =  1805,t1
20090101091279,23,Cluster 1  | n =  2599,t1
20090101091329,24,Cluster 2  | n =  632,t1
20090101091334,25,Cluster 1  | n =  2599,t1
20090101091422,26,Cluster 4  | n =  1805,t1
20090101091448,27,Cluster 1  | n =  2599,t1
20090101091462,28,Cluster 4  | n =  1805,t1
20090101091497,29,Cluster 1  | n =  2599,t1
20090101091517,30,Cluster 1  | n =  2599,t1
20090101091542,31,Cluster 1  | n =  2599,t1
20090101091573,32,Cluster 4  | n =  1805,t1
20090101091601,33,Cluster 4  | n =  1805,t1
20090101091686,34,Cluster 4  | n =  1805,t1
20090101091747,35,Cluster 1  | n =  2599,t1
20090101091951,36,Cluster 1  | n =  2599,t1
20090101092027,37,Cluster 4  | n =  1805,t1
20090101092057,38,Cluster 2  | n =  632,t1
20090101092071,39,Cluster 1  | n =  2599,t1
20090101092083,40,Cluster 4  | n =  1805,t1
20090101092098,41,Cluster 4  | n =  1805,t1
20090101092161,42,Cluster 4  | n =  1805,t1
20090101092179,43,Cluster 4  | n =  1805,t1
20090101092214,44,Cluster 4  | n =  1805,t1
20090101092276,45,Cluster 4  | n =  1805,t1
20090101092287,46,Cluster 4  | n =  1805,t1
20090101092343,47,Cluster 4  | n =  1805,t1
20090101092397,48,Cluster 1  | n =  2599,t1
20090101092422,49,Cluster 1  | n =  2599,t1
20090110080503,50,Cluster 1  | n =  2599,t1
20090110081010,51,Cluster 1  | n =  2599,t1
20090110082505,52,Cluster 3  | n =  254,t1
20090111080005,53,Cluster 1  | n =  2599,t1
20090111080529,54,Cluster 4  | n =  1805,t1
20090111080534,55,Cluster 4  | n =  1805,t1
20090111080610,56,Cluster 1  | n =  2599,t1
20090111080616,57,Cluster 4  | n =  1805,t1
20090111080623,58,Cluster 4  | n =  1805,t1
20090111080653,59,Cluster 4  | n =  1805,t1
20090111080670,60,Cluster 4  | n =  1805,t1
20090111080725,61,Cluster 4  | n =  1805,t1
20090111080787,62,Cluster 1  | n =  2599,t1
20090111080803,64,Cluster 1  | n =  2599,t1
20090111080814,65,Cluster 1  | n =  2599,t1
20090111080843,66,Cluster 1  | n =  2599,t1
20090111080863,67,Cluster 1  | n =  2599,t1
20090111080901,68,Cluster 1  | n =  2599,t1
20090111080903,69,Cluster 1  | n =  2599,t1
20090111080908,70,Cluster 1  | n =  2599,t1
20090111080981,71,Cluster 1  | n =  2599,t1
20090111080999,72,Cluster 1  | n =  2599,t1
20090111081003,73,Cluster 1  | n =  2599,t1
20090111081024,74,Cluster 1  | n =  2599,t1
20090111081027,75,Cluster 4  | n =  1805,t1
20090111081036,76,Cluster 2  | n =  632,t1
20090111081049,77,Cluster 1  | n =  2599,t1
20090111081067,78,Cluster 1  | n =  2599,t1
20090111081078,79,Cluster 1  | n =  2599,t1
20090111081092,80,Cluster 1  | n =  2599,t1
20090111081098,81,Cluster 1  | n =  2599,t1
20090111081118,82,Cluster 4  | n =  1805,t1
20090111081140,83,Cluster 2  | n =  632,t1
20090111081199,84,Cluster 1  | n =  2599,t1
20090111081204,85,Cluster 4  | n =  1805,t1
20090111081223,86,Cluster 4  | n =  1805,t1
20090111081234,87,Cluster 1  | n =  2599,t1
20090111081251,88,Cluster 4  | n =  1805,t1
20090111081330,89,Cluster 1  | n =  2599,t1
20090111081333,90,Cluster 1  | n =  2599,t1
20090111081340,91,Cluster 1  | n =  2599,t1
20090111081350,92,Cluster 4  | n =  1805,t1
20090111081361,93,Cluster 1  | n =  2599,t1
20090111081375,94,Cluster 1  | n =  2599,t1
20090111081423,95,Cluster 1  | n =  2599,t1
20090111081432,96,Cluster 1  | n =  2599,t1
20090111081462,98,Cluster 3  | n =  254,t1
20090111081472,99,Cluster 1  | n =  2599,t1
20090111081561,100,Cluster 2  | n =  632,t1
20090111081588,101,Cluster 4  | n =  1805,t1
20090111081602,102,Cluster 3  | n =  254,t1
20090111081614,103,Cluster 1  | n =  2599,t1
20090111081630,104,Cluster 1  | n =  2599,t1
20090111081635,105,Cluster 1  | n =  2599,t1
20090111081726,106,Cluster 1  | n =  2599,t1
20090111081738,107,Cluster 1  | n =  2599,t1
20090111081754,108,Cluster 1  | n =  2599,t1
20090111081897,109,Cluster 4  | n =  1805,t1
20090111081899,110,Cluster 1  | n =  2599,t1
20090111081907,111,Cluster 1  | n =  2599,t1
20090111081908,112,Cluster 1  | n =  2599,t1
20090111081928,113,Cluster 1  | n =  2599,t1
20090111081953,114,Cluster 3  | n =  254,t1
20090111081959,115,Cluster 1  | n =  2599,t1
20090111081967,116,Cluster 1  | n =  2599,t1
20090111081974,117,Cluster 4  | n =  1805,t1
20090111081980,118,Cluster 1  | n =  2599,t1
20090111081997,119,Cluster 3  | n =  254,t1
20090111082024,120,Cluster 2  | n =  632,t1
20090111082088,121,Cluster 4  | n =  1805,t1
20090111082099,122,Cluster 1  | n =  2599,t1
20090111082122,123,Cluster 1  | n =  2599,t1
20090111082145,124,Cluster 4  | n =  1805,t1
20090111082152,125,Cluster 2  | n =  632,t1
20090111082186,126,Cluster 4  | n =  1805,t1
20090111082202,127,Cluster 4  | n =  1805,t1
20090111082251,129,Cluster 1  | n =  2599,t1
20090111082294,130,Cluster 2  | n =  632,t1
20090111082299,131,Cluster 4  | n =  1805,t1
20090111082318,132,Cluster 2  | n =  632,t1
20090111082320,133,Cluster 1  | n =  2599,t1
20090111082394,134,Cluster 3  | n =  254,t1
20090111082465,135,Cluster 1  | n =  2599,t1
20090112080011,136,Cluster 4  | n =  1805,t1
20090112080014,137,Cluster 1  | n =  2599,t1
20090112080017,138,Cluster 1  | n =  2599,t1
20090112080025,139,Cluster 1  | n =  2599,t1
20090112080030,140,Cluster 1  | n =  2599,t1
20090112080038,141,Cluster 4  | n =  1805,t1
20090112080051,142,Cluster 2  | n =  632,t1
20090112080053,143,Cluster 1  | n =  2599,t1
20090112080058,144,Cluster 1  | n =  2599,t1
20090112080082,145,Cluster 4  | n =  1805,t1
20090112080086,146,Cluster 1  | n =  2599,t1
20090112080090,147,Cluster 4  | n =  1805,t1
20090112080104,148,Cluster 1  | n =  2599,t1
20090112080145,149,Cluster 4  | n =  1805,t1
20090112080151,150,Cluster 4  | n =  1805,t1
20090112080160,151,Cluster 1  | n =  2599,t1
20090112080161,152,Cluster 1  | n =  2599,t1
20090112080163,153,Cluster 4  | n =  1805,t1
20090112080169,154,Cluster 1  | n =  2599,t1
20090112080502,155,Cluster 1  | n =  2599,t1
20090112080508,156,Cluster 1  | n =  2599,t1
20090112080511,157,Cluster 4  | n =  1805,t1
20090112080514,158,Cluster 4  | n =  1805,t1
20090112080539,159,Cluster 4  | n =  1805,t1
20090112080540,160,Cluster 4  | n =  1805,t1
20090112080541,161,Cluster 1  | n =  2599,t1
20090112080545,162,Cluster 1  | n =  2599,t1
20090112080547,163,Cluster 1  | n =  2599,t1
20090112080549,164,Cluster 1  | n =  2599,t1
20090112080551,165,Cluster 1  | n =  2599,t1
20090112080553,166,Cluster 1  | n =  2599,t1
20090112080555,167,Cluster 1  | n =  2599,t1
20090112080570,168,Cluster 4  | n =  1805,t1
20090112080574,169,Cluster 1  | n =  2599,t1
20090112080581,170,Cluster 1  | n =  2599,t1
20090112080586,171,Cluster 4  | n =  1805,t1
20090112080589,172,Cluster 1  | n =  2599,t1
20090112080602,173,Cluster 1  | n =  2599,t1
20090112080608,174,Cluster 4  | n =  1805,t1
20090112080611,175,Cluster 4  | n =  1805,t1
20090112080613,176,Cluster 1  | n =  2599,t1
20090112080616,177,Cluster 1  | n =  2599,t1
20090112080618,178,Cluster 1  | n =  2599,t1
20090112080632,179,Cluster 1  | n =  2599,t1
20090112080638,180,Cluster 1  | n =  2599,t1
20090112080647,181,Cluster 1  | n =  2599,t1
20090112080649,182,Cluster 4  | n =  1805,t1
20090112080650,183,Cluster 1  | n =  2599,t1
20090112080651,184,Cluster 2  | n =  632,t1
20090112080659,185,Cluster 4  | n =  1805,t1
20090112080666,186,Cluster 1  | n =  2599,t1
20090112080675,187,Cluster 1  | n =  2599,t1
20090112080676,188,Cluster 1  | n =  2599,t1
20090112080677,189,Cluster 1  | n =  2599,t1
20090112080679,190,Cluster 4  | n =  1805,t1
20090112080680,191,Cluster 4  | n =  1805,t1
20090112080685,192,Cluster 1  | n =  2599,t1
20090112080688,193,Cluster 1  | n =  2599,t1
20090112080689,194,Cluster 1  | n =  2599,t1
20090112080698,195,Cluster 4  | n =  1805,t1
20090112080704,196,Cluster 1  | n =  2599,t1
20090112080712,197,Cluster 3  | n =  254,t1
20090112080732,198,Cluster 4  | n =  1805,t1
20090112080733,199,Cluster 4  | n =  1805,t1
20090112080748,200,Cluster 1  | n =  2599,t1
20090112080759,201,Cluster 2  | n =  632,t1
20090112080761,202,Cluster 4  | n =  1805,t1
20090112080763,203,Cluster 4  | n =  1805,t1
20090112080767,204,Cluster 1  | n =  2599,t1
20090112080787,205,Cluster 4  | n =  1805,t1
20090112080794,206,Cluster 1  | n =  2599,t1
20090112080795,207,Cluster 1  | n =  2599,t1
20090112080801,208,Cluster 1  | n =  2599,t1
20090112080804,209,Cluster 3  | n =  254,t1
20090112080809,210,Cluster 3  | n =  254,t1
20090112080814,211,Cluster 4  | n =  1805,t1
20090112080815,212,Cluster 1  | n =  2599,t1
20090112080821,213,Cluster 1  | n =  2599,t1
20090112080835,214,Cluster 2  | n =  632,t1
20090112080840,215,Cluster 1  | n =  2599,t1
20090112080843,216,Cluster 1  | n =  2599,t1
20090112080845,217,Cluster 4  | n =  1805,t1
20090112080848,218,Cluster 1  | n =  2599,t1
20090112080857,219,Cluster 2  | n =  632,t1
20090112080859,220,Cluster 2  | n =  632,t1
20090112080860,221,Cluster 1  | n =  2599,t1
20090112080865,222,Cluster 4  | n =  1805,t1
20090112080871,223,Cluster 1  | n =  2599,t1
20090112080872,224,Cluster 4  | n =  1805,t1
20090112080877,225,Cluster 1  | n =  2599,t1
20090112080879,226,Cluster 1  | n =  2599,t1
