t1,t2,n
Cluster 1,Cluster 1,754
Cluster 2,Cluster 1,37
Cluster 3,Cluster 1,390
Cluster 1,Cluster 2,191
Cluster 2,Cluster 2,3
Cluster 3,Cluster 2,261
Cluster 1,Cluster 3,221
Cluster 2,Cluster 3,81
Cluster 3,Cluster 3,358
