ID,pair_id,cluster,time
20120502120801,NA,Cluster 2  |  n = 344,t1
20120502121317,NA,Cluster 4  |  n = 1503,t1
20120502121784,NA,Cluster 1  |  n = 1762,t1
20120502121793,NA,Cluster 3  |  n = 135,t1
20120502121931,NA,Cluster 2  |  n = 344,t1
20120502122467,NA,Cluster 1  |  n = 1762,t1
20120503120001,NA,Cluster 2  |  n = 344,t1
20120503120051,NA,Cluster 4  |  n = 1503,t1
20120503120509,NA,Cluster 4  |  n = 1503,t1
20120503120552,NA,Cluster 1  |  n = 1762,t1
20120503120640,NA,Cluster 1  |  n = 1762,t1
20120503120656,NA,Cluster 4  |  n = 1503,t1
20120503120673,NA,Cluster 1  |  n = 1762,t1
20120503120700,NA,Cluster 3  |  n = 135,t1
20120503120764,NA,Cluster 4  |  n = 1503,t1
20120503120769,NA,Cluster 1  |  n = 1762,t1
20120503120792,NA,Cluster 1  |  n = 1762,t1
20120503120804,NA,Cluster 3  |  n = 135,t1
20120503120810,NA,Cluster 4  |  n = 1503,t1
20120503120854,NA,Cluster 4  |  n = 1503,t1
20120503120887,NA,Cluster 1  |  n = 1762,t1
20120503120912,NA,Cluster 1  |  n = 1762,t1
20120503120929,NA,Cluster 1  |  n = 1762,t1
20120503120931,NA,Cluster 4  |  n = 1503,t1
20120503120974,NA,Cluster 1  |  n = 1762,t1
20120503121038,NA,Cluster 1  |  n = 1762,t1
20120503121046,NA,Cluster 3  |  n = 135,t1
20120503121065,NA,Cluster 1  |  n = 1762,t1
20120503121088,NA,Cluster 1  |  n = 1762,t1
20120503121121,NA,Cluster 2  |  n = 344,t1
20120503121157,NA,Cluster 4  |  n = 1503,t1
20120503121179,NA,Cluster 1  |  n = 1762,t1
20120503121188,NA,Cluster 4  |  n = 1503,t1
20120503121207,NA,Cluster 4  |  n = 1503,t1
20120503121226,NA,Cluster 1  |  n = 1762,t1
20120503121295,NA,Cluster 1  |  n = 1762,t1
20120503121305,NA,Cluster 4  |  n = 1503,t1
20120503121310,NA,Cluster 1  |  n = 1762,t1
20120503121325,NA,Cluster 4  |  n = 1503,t1
20120503121343,NA,Cluster 4  |  n = 1503,t1
20120503121368,NA,Cluster 1  |  n = 1762,t1
20120503121373,NA,Cluster 1  |  n = 1762,t1
20120503121376,NA,Cluster 4  |  n = 1503,t1
20120503121413,NA,Cluster 1  |  n = 1762,t1
20120503121437,NA,Cluster 1  |  n = 1762,t1
20120503121449,NA,Cluster 1  |  n = 1762,t1
20120503121483,NA,Cluster 1  |  n = 1762,t1
20120503121506,NA,Cluster 1  |  n = 1762,t1
20120503121511,NA,Cluster 4  |  n = 1503,t1
20120503121533,NA,Cluster 4  |  n = 1503,t1
20120503121607,NA,Cluster 4  |  n = 1503,t1
20120503121663,NA,Cluster 4  |  n = 1503,t1
20120503121706,NA,Cluster 1  |  n = 1762,t1
