t1,t2,n
Cluster 1,Cluster 1,6
Cluster 2,Cluster 1,145
Cluster 3,Cluster 1,141
Cluster 4,Cluster 1,48
Cluster 5,Cluster 1,248
Cluster 6,Cluster 1,154
Cluster 1,Cluster 2,62
Cluster 2,Cluster 2,1996
Cluster 3,Cluster 2,115
Cluster 4,Cluster 2,24
Cluster 5,Cluster 2,158
Cluster 6,Cluster 2,210
Cluster 1,Cluster 3,2
Cluster 2,Cluster 3,95
Cluster 3,Cluster 3,251
Cluster 4,Cluster 3,18
Cluster 5,Cluster 3,373
Cluster 6,Cluster 3,206
Cluster 1,Cluster 4,3
Cluster 2,Cluster 4,42
Cluster 3,Cluster 4,31
Cluster 4,Cluster 4,94
Cluster 5,Cluster 4,49
Cluster 6,Cluster 4,18
Cluster 1,Cluster 6,2
Cluster 2,Cluster 6,140
Cluster 3,Cluster 6,112
Cluster 4,Cluster 6,21
Cluster 5,Cluster 6,214
Cluster 6,Cluster 6,293
