t1,t2,n
Cluster 1,Cluster 1,1734
Cluster 2,Cluster 1,69
Cluster 3,Cluster 1,883
Cluster 1,Cluster 2,69
Cluster 2,Cluster 2,123
Cluster 3,Cluster 2,80
Cluster 1,Cluster 3,850
Cluster 2,Cluster 3,119
Cluster 3,Cluster 3,1316
