t1,t2,n
Cluster 1,Cluster 1,2257
Cluster 2,Cluster 1,130
Cluster 3,Cluster 1,37
Cluster 4,Cluster 1,375
Cluster 1,Cluster 2,69
Cluster 2,Cluster 2,236
Cluster 3,Cluster 2,30
Cluster 4,Cluster 2,300
Cluster 1,Cluster 3,18
Cluster 2,Cluster 3,38
Cluster 3,Cluster 3,106
Cluster 4,Cluster 3,45
Cluster 1,Cluster 4,199
Cluster 2,Cluster 4,160
Cluster 3,Cluster 4,14
Cluster 4,Cluster 4,424
Cluster 1,Cluster unmatched 1,247
Cluster 2,Cluster unmatched 1,326
Cluster 3,Cluster unmatched 1,65
Cluster 4,Cluster unmatched 1,643
