t1,t2,n
Cluster 1,Cluster 2,107
Cluster 2,Cluster 2,1422
Cluster 3,Cluster 2,227
Cluster 4,Cluster 2,41
Cluster 5,Cluster 2,415
Cluster 6,Cluster 2,185
Cluster 1,Cluster 3,29
Cluster 2,Cluster 3,195
Cluster 3,Cluster 3,195
Cluster 4,Cluster 3,23
Cluster 5,Cluster 3,239
Cluster 6,Cluster 3,57
Cluster 1,Cluster 4,9
Cluster 2,Cluster 4,33
Cluster 3,Cluster 4,19
Cluster 4,Cluster 4,80
Cluster 5,Cluster 4,38
Cluster 6,Cluster 4,3
Cluster 1,Cluster 5,30
Cluster 2,Cluster 5,312
Cluster 3,Cluster 5,214
Cluster 4,Cluster 5,38
Cluster 5,Cluster 5,291
Cluster 6,Cluster 5,104
Cluster 1,Cluster 6,25
Cluster 2,Cluster 6,249
Cluster 3,Cluster 6,115
Cluster 4,Cluster 6,11
Cluster 5,Cluster 6,188
Cluster 6,Cluster 6,133
