t1,t2,n
Cluster 1,Cluster 1,1826
Cluster 2,Cluster 1,289
Cluster 3,Cluster 1,70
Cluster 4,Cluster 1,732
Cluster 1,Cluster 2,990
Cluster 2,Cluster 2,618
Cluster 3,Cluster 2,80
Cluster 4,Cluster 2,1047
Cluster 1,Cluster 3,66
Cluster 2,Cluster 3,53
Cluster 3,Cluster 3,151
Cluster 4,Cluster 3,77
