t1,t2,n
Cluster 1,Cluster 1,1144
Cluster 2,Cluster 1,229
Cluster 3,Cluster 1,37
Cluster 4,Cluster 1,509
Cluster 1,Cluster 2,238
Cluster 2,Cluster 2,173
Cluster 3,Cluster 2,9
Cluster 4,Cluster 2,58
Cluster 1,Cluster 3,37
Cluster 2,Cluster 3,17
Cluster 3,Cluster 3,73
Cluster 4,Cluster 3,53
Cluster 1,Cluster 4,419
Cluster 2,Cluster 4,61
Cluster 3,Cluster 4,47
Cluster 4,Cluster 4,879
