t1,t2,n
Cluster 1,Cluster 1,1673
Cluster 2,Cluster 1,322
Cluster 3,Cluster 1,52
Cluster 4,Cluster 1,643
Cluster 1,Cluster 2,702
Cluster 2,Cluster 2,600
Cluster 3,Cluster 2,77
Cluster 4,Cluster 2,669
Cluster 1,Cluster 4,424
Cluster 2,Cluster 4,166
Cluster 3,Cluster 4,116
Cluster 4,Cluster 4,347
