ID,pair_id,cluster,time
20130502130993,1,Cluster 3  |  n = 1456,t1
20130502132202,2,Cluster 2  |  n = 364,t1
20130502132457,3,Cluster 1  |  n = 1529,t1
20130503130047,4,Cluster 1  |  n = 1529,t1
20130503130528,5,Cluster 1  |  n = 1529,t1
20130503130533,6,Cluster 3  |  n = 1456,t1
20130503130594,7,Cluster 1  |  n = 1529,t1
20130503130634,8,Cluster 1  |  n = 1529,t1
20130503130641,9,Cluster 2  |  n = 364,t1
20130503130656,10,Cluster 1  |  n = 1529,t1
20130503130754,11,Cluster 1  |  n = 1529,t1
20130503130763,12,Cluster 1  |  n = 1529,t1
20130503130821,13,Cluster 1  |  n = 1529,t1
20130503130847,14,Cluster 1  |  n = 1529,t1
20130503130861,15,Cluster 3  |  n = 1456,t1
20130503130879,16,Cluster 3  |  n = 1456,t1
20130503130916,17,Cluster 1  |  n = 1529,t1
20130503130945,18,Cluster 1  |  n = 1529,t1
20130503130951,19,Cluster 3  |  n = 1456,t1
20130503131024,20,Cluster 1  |  n = 1529,t1
20130503131025,21,Cluster 1  |  n = 1529,t1
20130503131059,22,Cluster 3  |  n = 1456,t1
20130503131066,23,Cluster 1  |  n = 1529,t1
20130503131187,24,Cluster 1  |  n = 1529,t1
20130503131235,25,Cluster 1  |  n = 1529,t1
20130503131316,26,Cluster 3  |  n = 1456,t1
20130503131340,27,Cluster 2  |  n = 364,t1
20130503131457,28,Cluster 3  |  n = 1456,t1
20130503131501,29,Cluster 1  |  n = 1529,t1
20130503131547,30,Cluster 3  |  n = 1456,t1
20130503131694,31,Cluster 2  |  n = 364,t1
20130503131790,32,Cluster 3  |  n = 1456,t1
20130503131801,33,Cluster 3  |  n = 1456,t1
20130503131824,34,Cluster 2  |  n = 364,t1
20130503131862,35,Cluster 1  |  n = 1529,t1
20130503132055,36,Cluster 1  |  n = 1529,t1
20130503132155,37,Cluster 1  |  n = 1529,t1
20130503132169,38,Cluster 1  |  n = 1529,t1
20130503132177,39,Cluster 1  |  n = 1529,t1
20130503132209,40,Cluster 1  |  n = 1529,t1
20130503132249,41,Cluster 1  |  n = 1529,t1
20130503132312,42,Cluster 1  |  n = 1529,t1
20130503132318,43,Cluster 1  |  n = 1529,t1
20130503132319,44,Cluster 1  |  n = 1529,t1
20130503132327,45,Cluster 3  |  n = 1456,t1
20130503132333,46,Cluster 3  |  n = 1456,t1
20130503132386,47,Cluster 1  |  n = 1529,t1
20130503132463,48,Cluster 1  |  n = 1529,t1
20130503132484,49,Cluster 1  |  n = 1529,t1
20130503132496,50,Cluster 3  |  n = 1456,t1
20130503132523,51,Cluster 1  |  n = 1529,t1
20130504130011,52,Cluster 1  |  n = 1529,t1
20130504130041,53,Cluster 3  |  n = 1456,t1
20130504130055,54,Cluster 1  |  n = 1529,t1
20130504130057,55,Cluster 1  |  n = 1529,t1
20130504130059,56,Cluster 3  |  n = 1456,t1
20130504130068,57,Cluster 3  |  n = 1456,t1
20130504130082,58,Cluster 1  |  n = 1529,t1
20130504130083,59,Cluster 1  |  n = 1529,t1
20130504130084,60,Cluster 3  |  n = 1456,t1
20130504130099,61,Cluster 2  |  n = 364,t1
20130504130124,62,Cluster 3  |  n = 1456,t1
20130504130127,63,Cluster 3  |  n = 1456,t1
20130504130131,64,Cluster 3  |  n = 1456,t1
20130504130132,65,Cluster 3  |  n = 1456,t1
20130504130136,66,Cluster 2  |  n = 364,t1
20130504130159,67,Cluster 2  |  n = 364,t1
20130504130162,68,Cluster 1  |  n = 1529,t1
20130504130164,69,Cluster 3  |  n = 1456,t1
20130504130174,70,Cluster 3  |  n = 1456,t1
20130504130501,71,Cluster 1  |  n = 1529,t1
20130504130502,72,Cluster 1  |  n = 1529,t1
20130504130507,73,Cluster 3  |  n = 1456,t1
20130504130510,74,Cluster 1  |  n = 1529,t1
20130504130511,75,Cluster 3  |  n = 1456,t1
20130504130512,76,Cluster 1  |  n = 1529,t1
20130504130514,77,Cluster 1  |  n = 1529,t1
20130504130522,78,Cluster 3  |  n = 1456,t1
20130504130523,79,Cluster 1  |  n = 1529,t1
20130504130527,80,Cluster 1  |  n = 1529,t1
20130504130532,81,Cluster 1  |  n = 1529,t1
20130504130537,82,Cluster 3  |  n = 1456,t1
20130504130539,83,Cluster 1  |  n = 1529,t1
20130504130541,84,Cluster 1  |  n = 1529,t1
20130504130550,85,Cluster 3  |  n = 1456,t1
20130504130553,86,Cluster 3  |  n = 1456,t1
20130504130554,87,Cluster 1  |  n = 1529,t1
20130504130567,88,Cluster 1  |  n = 1529,t1
20130504130571,89,Cluster 1  |  n = 1529,t1
20130504130575,90,Cluster 3  |  n = 1456,t1
20130504130577,91,Cluster 3  |  n = 1456,t1
20130504130591,92,Cluster 3  |  n = 1456,t1
20130504130600,93,Cluster 3  |  n = 1456,t1
20130504130601,94,Cluster 3  |  n = 1456,t1
20130504130607,95,Cluster 2  |  n = 364,t1
20130504130611,96,Cluster 1  |  n = 1529,t1
20130504130615,97,Cluster 1  |  n = 1529,t1
20130504130622,98,Cluster 1  |  n = 1529,t1
20130504130632,99,Cluster 1  |  n = 1529,t1
20130504130644,100,Cluster 1  |  n = 1529,t1
20130504130652,101,Cluster 1  |  n = 1529,t1
20130504130664,102,Cluster 1  |  n = 1529,t1
20130504130668,103,Cluster 3  |  n = 1456,t1
20130504130679,104,Cluster 1  |  n = 1529,t1
20130504130680,105,Cluster 3  |  n = 1456,t1
20130504130681,106,Cluster 3  |  n = 1456,t1
20130504130687,107,Cluster 1  |  n = 1529,t1
20130504130697,108,Cluster 3  |  n = 1456,t1
20130504130717,109,Cluster 1  |  n = 1529,t1
20130504130751,110,Cluster 1  |  n = 1529,t1
20130504130763,111,Cluster 3  |  n = 1456,t1
20130504130764,112,Cluster 1  |  n = 1529,t1
20130504130769,113,Cluster 1  |  n = 1529,t1
20130504130776,114,Cluster 2  |  n = 364,t1
20130504130784,115,Cluster 3  |  n = 1456,t1
20130504130790,116,Cluster 3  |  n = 1456,t1
20130504130794,117,Cluster 1  |  n = 1529,t1
20130504130796,118,Cluster 1  |  n = 1529,t1
20130504130797,119,Cluster 3  |  n = 1456,t1
20130504130799,120,Cluster 2  |  n = 364,t1
20130504130802,121,Cluster 2  |  n = 364,t1
20130504130804,122,Cluster 3  |  n = 1456,t1
20130504130808,123,Cluster 3  |  n = 1456,t1
20130504130814,124,Cluster 3  |  n = 1456,t1
20130504130826,125,Cluster 1  |  n = 1529,t1
20130504130846,126,Cluster 1  |  n = 1529,t1
20130504130851,127,Cluster 1  |  n = 1529,t1
20130504130852,128,Cluster 3  |  n = 1456,t1
20130504130860,129,Cluster 1  |  n = 1529,t1
20130504130866,130,Cluster 3  |  n = 1456,t1
20130504130882,131,Cluster 1  |  n = 1529,t1
