t1,t2,n
Cluster 1,Cluster 1,1015
Cluster 2,Cluster 1,227
Cluster 3,Cluster 1,51
Cluster 4,Cluster 1,356
Cluster 1,Cluster 2,214
Cluster 2,Cluster 2,168
Cluster 3,Cluster 2,11
Cluster 4,Cluster 2,43
Cluster 1,Cluster 3,27
Cluster 2,Cluster 3,8
Cluster 3,Cluster 3,53
Cluster 4,Cluster 3,46
Cluster 1,Cluster 4,388
Cluster 2,Cluster 4,43
Cluster 3,Cluster 4,54
Cluster 4,Cluster 4,654
