ID,pair_id,cluster,time
20070101070048,NA,Cluster 1  | n =  2587,t1
20070101070052,NA,Cluster 1  | n =  2587,t1
20070101070067,NA,Cluster 3  | n =  2164,t1
20070101070512,NA,Cluster 3  | n =  2164,t1
20070101070515,NA,Cluster 1  | n =  2587,t1
20070101070534,NA,Cluster 3  | n =  2164,t1
20070101070587,NA,Cluster 2  | n =  241,t1
20070101070599,NA,Cluster 1  | n =  2587,t1
20070101070610,NA,Cluster 3  | n =  2164,t1
20070101070614,NA,Cluster 3  | n =  2164,t1
20070101070630,NA,Cluster 2  | n =  241,t1
20070101070673,NA,Cluster 3  | n =  2164,t1
20070101070684,NA,Cluster 2  | n =  241,t1
20070101070703,NA,Cluster 1  | n =  2587,t1
20070101070719,NA,Cluster 1  | n =  2587,t1
20070101070731,NA,Cluster 1  | n =  2587,t1
20070101070756,NA,Cluster 3  | n =  2164,t1
20070101070764,NA,Cluster 3  | n =  2164,t1
20070101070765,NA,Cluster 1  | n =  2587,t1
20070101070819,NA,Cluster 1  | n =  2587,t1
20070101070835,NA,Cluster 1  | n =  2587,t1
20070101070845,NA,Cluster 3  | n =  2164,t1
20070101070853,NA,Cluster 1  | n =  2587,t1
20070101070861,NA,Cluster 1  | n =  2587,t1
20070101070951,NA,Cluster 3  | n =  2164,t1
20070101070967,NA,Cluster 1  | n =  2587,t1
20070101070968,NA,Cluster 3  | n =  2164,t1
20070101070971,NA,Cluster 3  | n =  2164,t1
20070101070984,NA,Cluster 1  | n =  2587,t1
20070101071000,NA,Cluster 1  | n =  2587,t1
20070101071004,NA,Cluster 1  | n =  2587,t1
20070101071010,NA,Cluster 1  | n =  2587,t1
20070101071056,NA,Cluster 3  | n =  2164,t1
20070101071067,NA,Cluster 1  | n =  2587,t1
20070101071087,NA,Cluster 3  | n =  2164,t1
20070101071088,NA,Cluster 3  | n =  2164,t1
20070101071094,NA,Cluster 1  | n =  2587,t1
20070101071101,NA,Cluster 1  | n =  2587,t1
20070101071140,NA,Cluster 1  | n =  2587,t1
20070101071147,NA,Cluster 3  | n =  2164,t1
20070101071166,NA,Cluster 1  | n =  2587,t1
20070101071181,NA,Cluster 3  | n =  2164,t1
20070101071193,NA,Cluster 3  | n =  2164,t1
20070101071195,NA,Cluster 1  | n =  2587,t1
20070101071196,NA,Cluster 3  | n =  2164,t1
20070101071227,NA,Cluster 1  | n =  2587,t1
20070101071233,NA,Cluster 3  | n =  2164,t1
20070101071236,NA,Cluster 1  | n =  2587,t1
20070101071238,NA,Cluster 3  | n =  2164,t1
20070101071271,NA,Cluster 3  | n =  2164,t1
20070101071273,NA,Cluster 3  | n =  2164,t1
20070101071274,NA,Cluster 3  | n =  2164,t1
20070101071294,NA,Cluster 3  | n =  2164,t1
20070101071310,NA,Cluster 3  | n =  2164,t1
20070101071315,NA,Cluster 1  | n =  2587,t1
20070101071350,NA,Cluster 1  | n =  2587,t1
20070101071368,NA,Cluster 3  | n =  2164,t1
20070101071377,NA,Cluster 1  | n =  2587,t1
20070101071406,NA,Cluster 1  | n =  2587,t1
20070101071421,NA,Cluster 1  | n =  2587,t1
20070101071428,NA,Cluster 1  | n =  2587,t1
20070101071431,NA,Cluster 3  | n =  2164,t1
20070101071442,NA,Cluster 1  | n =  2587,t1
20070101071444,NA,Cluster 1  | n =  2587,t1
20070101071479,NA,Cluster 1  | n =  2587,t1
20070101071486,NA,Cluster 2  | n =  241,t1
20070101071504,NA,Cluster 1  | n =  2587,t1
20070101071516,NA,Cluster 3  | n =  2164,t1
20070101071534,NA,Cluster 3  | n =  2164,t1
20070101071541,NA,Cluster 1  | n =  2587,t1
20070101071552,NA,Cluster 1  | n =  2587,t1
20070101071579,NA,Cluster 3  | n =  2164,t1
20070101071589,NA,Cluster 3  | n =  2164,t1
20070101071632,NA,Cluster 3  | n =  2164,t1
20070101071646,NA,Cluster 1  | n =  2587,t1
20070101071657,NA,Cluster 3  | n =  2164,t1
20070101071661,NA,Cluster 2  | n =  241,t1
20070101071691,NA,Cluster 1  | n =  2587,t1
20070101071725,NA,Cluster 3  | n =  2164,t1
20070101071768,NA,Cluster 2  | n =  241,t1
20070101071808,NA,Cluster 1  | n =  2587,t1
20070101071827,NA,Cluster 3  | n =  2164,t1
20070101071848,NA,Cluster 1  | n =  2587,t1
20070101071859,NA,Cluster 2  | n =  241,t1
20070101071874,NA,Cluster 3  | n =  2164,t1
20070101071894,NA,Cluster 3  | n =  2164,t1
20070101071926,NA,Cluster 3  | n =  2164,t1
20070101071941,NA,Cluster 1  | n =  2587,t1
20070101071978,NA,Cluster 3  | n =  2164,t1
20070101071986,NA,Cluster 1  | n =  2587,t1
20070101072003,NA,Cluster 1  | n =  2587,t1
20070101072009,NA,Cluster 3  | n =  2164,t1
20070101072011,NA,Cluster 3  | n =  2164,t1
20070101072019,NA,Cluster 3  | n =  2164,t1
20070101072056,NA,Cluster 3  | n =  2164,t1
20070101072064,NA,Cluster 2  | n =  241,t1
20070101072065,NA,Cluster 3  | n =  2164,t1
20070101072069,NA,Cluster 3  | n =  2164,t1
20070101072070,NA,Cluster 3  | n =  2164,t1
20070101072084,NA,Cluster 3  | n =  2164,t1
20070101072107,NA,Cluster 1  | n =  2587,t1
20070101072133,NA,Cluster 3  | n =  2164,t1
20070101072146,NA,Cluster 1  | n =  2587,t1
20070101072150,NA,Cluster 1  | n =  2587,t1
20070101072170,NA,Cluster 1  | n =  2587,t1
20070101072177,NA,Cluster 1  | n =  2587,t1
20070101072194,NA,Cluster 1  | n =  2587,t1
20070101072198,NA,Cluster 3  | n =  2164,t1
20070101072208,NA,Cluster 1  | n =  2587,t1
20070101072236,NA,Cluster 1  | n =  2587,t1
20070101072241,NA,Cluster 2  | n =  241,t1
20070101072350,NA,Cluster 3  | n =  2164,t1
20070101072353,NA,Cluster 3  | n =  2164,t1
20070101072356,NA,Cluster 3  | n =  2164,t1
20070101072387,NA,Cluster 1  | n =  2587,t1
20070101072390,NA,Cluster 3  | n =  2164,t1
20070101072396,NA,Cluster 3  | n =  2164,t1
20070101072409,NA,Cluster 1  | n =  2587,t1
20070101072421,NA,Cluster 1  | n =  2587,t1
20070101072445,NA,Cluster 1  | n =  2587,t1
20070101072471,NA,Cluster 1  | n =  2587,t1
20070101072497,NA,Cluster 3  | n =  2164,t1
20070101072532,NA,Cluster 1  | n =  2587,t1
20070101072538,NA,Cluster 3  | n =  2164,t1
20070101072539,NA,Cluster 3  | n =  2164,t1
20070110061805,NA,Cluster 1  | n =  2587,t1
20070111060517,NA,Cluster 3  | n =  2164,t1
20070111060519,NA,Cluster 1  | n =  2587,t1
20070111060642,NA,Cluster 1  | n =  2587,t1
20070111060649,NA,Cluster 3  | n =  2164,t1
20070111060670,NA,Cluster 3  | n =  2164,t1
20070111060674,NA,Cluster 1  | n =  2587,t1
20070111060693,NA,Cluster 3  | n =  2164,t1
20070111060698,NA,Cluster 1  | n =  2587,t1
20070111060714,NA,Cluster 3  | n =  2164,t1
20070111060740,NA,Cluster 3  | n =  2164,t1
20070111060760,NA,Cluster 1  | n =  2587,t1
20070111060781,NA,Cluster 1  | n =  2587,t1
20070111060806,NA,Cluster 1  | n =  2587,t1
20070111060820,NA,Cluster 3  | n =  2164,t1
20070111060887,NA,Cluster 3  | n =  2164,t1
20070111060896,NA,Cluster 3  | n =  2164,t1
20070111060920,NA,Cluster 3  | n =  2164,t1
20070111060965,NA,Cluster 3  | n =  2164,t1
20070111060970,NA,Cluster 1  | n =  2587,t1
20070111060991,NA,Cluster 1  | n =  2587,t1
20070111060992,NA,Cluster 1  | n =  2587,t1
20070111061027,NA,Cluster 1  | n =  2587,t1
20070111061061,NA,Cluster 3  | n =  2164,t1
20070111061079,NA,Cluster 2  | n =  241,t1
20070111061089,NA,Cluster 1  | n =  2587,t1
20070111061094,NA,Cluster 1  | n =  2587,t1
20070111061111,NA,Cluster 1  | n =  2587,t1
20070111061161,NA,Cluster 1  | n =  2587,t1
20070111061204,NA,Cluster 1  | n =  2587,t1
20070111061259,NA,Cluster 1  | n =  2587,t1
20070111061348,NA,Cluster 1  | n =  2587,t1
20070111061367,NA,Cluster 1  | n =  2587,t1
20070111061372,NA,Cluster 1  | n =  2587,t1
20070111061401,NA,Cluster 1  | n =  2587,t1
20070111061417,NA,Cluster 3  | n =  2164,t1
20070111061457,NA,Cluster 1  | n =  2587,t1
20070111061536,NA,Cluster 3  | n =  2164,t1
20070111061555,NA,Cluster 3  | n =  2164,t1
20070111061570,NA,Cluster 1  | n =  2587,t1
20070111061571,NA,Cluster 3  | n =  2164,t1
20070111061610,NA,Cluster 3  | n =  2164,t1
20070111061618,NA,Cluster 1  | n =  2587,t1
20070111061634,NA,Cluster 3  | n =  2164,t1
20070111061650,NA,Cluster 1  | n =  2587,t1
20070111061668,NA,Cluster 3  | n =  2164,t1
20070111061761,NA,Cluster 1  | n =  2587,t1
20070111061832,NA,Cluster 3  | n =  2164,t1
20070111061840,NA,Cluster 3  | n =  2164,t1
20070111061932,NA,Cluster 1  | n =  2587,t1
20070111061955,NA,Cluster 3  | n =  2164,t1
20070111061970,NA,Cluster 3  | n =  2164,t1
20070111061998,NA,Cluster 1  | n =  2587,t1
20070111062014,NA,Cluster 1  | n =  2587,t1
20070111062085,NA,Cluster 1  | n =  2587,t1
20070111062096,NA,Cluster 3  | n =  2164,t1
20070111062101,NA,Cluster 1  | n =  2587,t1
20070111062119,NA,Cluster 1  | n =  2587,t1
20070111062121,NA,Cluster 1  | n =  2587,t1
20070111062164,NA,Cluster 1  | n =  2587,t1
20070111062182,NA,Cluster 1  | n =  2587,t1
