ID,pair_id,cluster,time
20080101080013,NA,Cluster 1  | n =  2567,t1
20080101080119,NA,Cluster 1  | n =  2567,t1
20080101080536,NA,Cluster 1  | n =  2567,t1
20080101080567,NA,Cluster 1  | n =  2567,t1
20080101080600,NA,Cluster 3  | n =  2178,t1
20080101080606,NA,Cluster 1  | n =  2567,t1
20080101080629,NA,Cluster 1  | n =  2567,t1
20080101080753,NA,Cluster 3  | n =  2178,t1
20080101080755,NA,Cluster 3  | n =  2178,t1
20080101080776,NA,Cluster 1  | n =  2567,t1
20080101080842,NA,Cluster 2  | n =  255,t1
20080101080920,NA,Cluster 3  | n =  2178,t1
20080101080928,NA,Cluster 1  | n =  2567,t1
20080101081100,NA,Cluster 1  | n =  2567,t1
20080101081141,NA,Cluster 1  | n =  2567,t1
20080101081208,NA,Cluster 1  | n =  2567,t1
20080101081353,NA,Cluster 3  | n =  2178,t1
20080101081373,NA,Cluster 1  | n =  2567,t1
20080101081375,NA,Cluster 1  | n =  2567,t1
20080101081412,NA,Cluster 3  | n =  2178,t1
20080101081487,NA,Cluster 3  | n =  2178,t1
20080101081488,NA,Cluster 3  | n =  2178,t1
20080101081608,NA,Cluster 1  | n =  2567,t1
20080101081612,NA,Cluster 3  | n =  2178,t1
20080101081625,NA,Cluster 3  | n =  2178,t1
20080101081674,NA,Cluster 1  | n =  2567,t1
20080101081684,NA,Cluster 3  | n =  2178,t1
20080101081730,NA,Cluster 3  | n =  2178,t1
20080101081756,NA,Cluster 3  | n =  2178,t1
20080101081773,NA,Cluster 3  | n =  2178,t1
20080101081797,NA,Cluster 3  | n =  2178,t1
20080101081821,NA,Cluster 1  | n =  2567,t1
20080101081853,NA,Cluster 1  | n =  2567,t1
20080101081957,NA,Cluster 1  | n =  2567,t1
20080101081991,NA,Cluster 1  | n =  2567,t1
20080101081996,NA,Cluster 3  | n =  2178,t1
20080101082083,NA,Cluster 3  | n =  2178,t1
20080101082102,NA,Cluster 1  | n =  2567,t1
20080101082136,NA,Cluster 1  | n =  2567,t1
20080101082243,NA,Cluster 1  | n =  2567,t1
20080101082283,NA,Cluster 3  | n =  2178,t1
20080101082339,NA,Cluster 3  | n =  2178,t1
20080101082369,NA,Cluster 3  | n =  2178,t1
20080101082420,NA,Cluster 1  | n =  2567,t1
20080101082421,NA,Cluster 3  | n =  2178,t1
20080110071700,NA,Cluster 1  | n =  2567,t1
20080111070067,NA,Cluster 1  | n =  2567,t1
20080111070095,NA,Cluster 3  | n =  2178,t1
20080111070530,NA,Cluster 1  | n =  2567,t1
20080111070563,NA,Cluster 1  | n =  2567,t1
20080111070566,NA,Cluster 1  | n =  2567,t1
20080111070577,NA,Cluster 1  | n =  2567,t1
20080111070582,NA,Cluster 3  | n =  2178,t1
20080111070591,NA,Cluster 1  | n =  2567,t1
20080111070616,NA,Cluster 1  | n =  2567,t1
20080111070662,NA,Cluster 3  | n =  2178,t1
20080111070687,NA,Cluster 3  | n =  2178,t1
20080111070776,NA,Cluster 2  | n =  255,t1
20080111070808,NA,Cluster 3  | n =  2178,t1
20080111070809,NA,Cluster 1  | n =  2567,t1
20080111070872,NA,Cluster 1  | n =  2567,t1
20080111070943,NA,Cluster 1  | n =  2567,t1
20080111071028,NA,Cluster 1  | n =  2567,t1
20080111071042,NA,Cluster 1  | n =  2567,t1
20080111071048,NA,Cluster 1  | n =  2567,t1
20080111071183,NA,Cluster 3  | n =  2178,t1
20080111071188,NA,Cluster 1  | n =  2567,t1
20080111071203,NA,Cluster 1  | n =  2567,t1
20080111071206,NA,Cluster 3  | n =  2178,t1
20080111071213,NA,Cluster 1  | n =  2567,t1
20080111071227,NA,Cluster 2  | n =  255,t1
20080111071236,NA,Cluster 3  | n =  2178,t1
20080111071263,NA,Cluster 1  | n =  2567,t1
20080111071293,NA,Cluster 3  | n =  2178,t1
20080111071302,NA,Cluster 3  | n =  2178,t1
20080111071329,NA,Cluster 1  | n =  2567,t1
20080111071337,NA,Cluster 1  | n =  2567,t1
20080111071466,NA,Cluster 3  | n =  2178,t1
20080111071482,NA,Cluster 3  | n =  2178,t1
20080111071537,NA,Cluster 3  | n =  2178,t1
20080111071542,NA,Cluster 1  | n =  2567,t1
20080111071617,NA,Cluster 2  | n =  255,t1
20080111071639,NA,Cluster 3  | n =  2178,t1
20080111071684,NA,Cluster 1  | n =  2567,t1
20080111071686,NA,Cluster 3  | n =  2178,t1
20080111071716,NA,Cluster 3  | n =  2178,t1
20080111071718,NA,Cluster 1  | n =  2567,t1
20080111071765,NA,Cluster 1  | n =  2567,t1
20080111071838,NA,Cluster 3  | n =  2178,t1
20080111071850,NA,Cluster 1  | n =  2567,t1
20080111071858,NA,Cluster 2  | n =  255,t1
20080111071864,NA,Cluster 1  | n =  2567,t1
20080111071895,NA,Cluster 3  | n =  2178,t1
20080111071921,NA,Cluster 1  | n =  2567,t1
20080111071990,NA,Cluster 3  | n =  2178,t1
20080111072026,NA,Cluster 3  | n =  2178,t1
20080111072033,NA,Cluster 1  | n =  2567,t1
20080111072052,NA,Cluster 3  | n =  2178,t1
20080111072073,NA,Cluster 1  | n =  2567,t1
20080111072192,NA,Cluster 3  | n =  2178,t1
20080111072196,NA,Cluster 1  | n =  2567,t1
20080111072258,NA,Cluster 3  | n =  2178,t1
20080111072288,NA,Cluster 3  | n =  2178,t1
20080111072289,NA,Cluster 2  | n =  255,t1
20080111072378,NA,Cluster 1  | n =  2567,t1
20080111072428,NA,Cluster 1  | n =  2567,t1
20080111072447,NA,Cluster 3  | n =  2178,t1
20080111072495,NA,Cluster 1  | n =  2567,t1
20080112070055,NA,Cluster 3  | n =  2178,t1
20080112070075,NA,Cluster 3  | n =  2178,t1
20080112070080,NA,Cluster 1  | n =  2567,t1
20080112070119,NA,Cluster 3  | n =  2178,t1
20080112070127,NA,Cluster 3  | n =  2178,t1
20080112070133,NA,Cluster 1  | n =  2567,t1
20080112070137,NA,Cluster 3  | n =  2178,t1
20080112070144,NA,Cluster 2  | n =  255,t1
20080112070161,NA,Cluster 1  | n =  2567,t1
20080112070176,NA,Cluster 1  | n =  2567,t1
20080112070188,NA,Cluster 1  | n =  2567,t1
20080112070192,NA,Cluster 3  | n =  2178,t1
20080112070193,NA,Cluster 3  | n =  2178,t1
20080112070198,NA,Cluster 2  | n =  255,t1
20080112070514,NA,Cluster 1  | n =  2567,t1
20080112070516,NA,Cluster 1  | n =  2567,t1
20080112070519,NA,Cluster 1  | n =  2567,t1
20080112070522,NA,Cluster 1  | n =  2567,t1
20080112070524,NA,Cluster 2  | n =  255,t1
20080112070529,NA,Cluster 3  | n =  2178,t1
20080112070530,NA,Cluster 3  | n =  2178,t1
20080112070554,NA,Cluster 3  | n =  2178,t1
20080112070555,NA,Cluster 1  | n =  2567,t1
20080112070569,NA,Cluster 1  | n =  2567,t1
20080112070571,NA,Cluster 1  | n =  2567,t1
20080112070572,NA,Cluster 3  | n =  2178,t1
20080112070573,NA,Cluster 3  | n =  2178,t1
20080112070575,NA,Cluster 1  | n =  2567,t1
20080112070584,NA,Cluster 3  | n =  2178,t1
20080112070585,NA,Cluster 1  | n =  2567,t1
20080112070590,NA,Cluster 1  | n =  2567,t1
20080112070597,NA,Cluster 1  | n =  2567,t1
20080112070608,NA,Cluster 3  | n =  2178,t1
20080112070610,NA,Cluster 3  | n =  2178,t1
20080112070616,NA,Cluster 3  | n =  2178,t1
20080112070625,NA,Cluster 3  | n =  2178,t1
20080112070633,NA,Cluster 3  | n =  2178,t1
20080112070645,NA,Cluster 1  | n =  2567,t1
20080112070653,NA,Cluster 1  | n =  2567,t1
20080112070655,NA,Cluster 1  | n =  2567,t1
20080112070672,NA,Cluster 3  | n =  2178,t1
20080112070674,NA,Cluster 3  | n =  2178,t1
20080112070713,NA,Cluster 3  | n =  2178,t1
20080112070714,NA,Cluster 1  | n =  2567,t1
20080112070719,NA,Cluster 2  | n =  255,t1
20080112070723,NA,Cluster 1  | n =  2567,t1
20080112070733,NA,Cluster 3  | n =  2178,t1
20080112070736,NA,Cluster 3  | n =  2178,t1
20080112070737,NA,Cluster 1  | n =  2567,t1
20080112070740,NA,Cluster 3  | n =  2178,t1
20080112070743,NA,Cluster 1  | n =  2567,t1
20080112070759,NA,Cluster 1  | n =  2567,t1
20080112070760,NA,Cluster 3  | n =  2178,t1
20080112070764,NA,Cluster 2  | n =  255,t1
20080112070769,NA,Cluster 3  | n =  2178,t1
20080112070784,NA,Cluster 1  | n =  2567,t1
20080112070796,NA,Cluster 1  | n =  2567,t1
20080112070801,NA,Cluster 1  | n =  2567,t1
20080112070805,NA,Cluster 1  | n =  2567,t1
20080112070807,NA,Cluster 3  | n =  2178,t1
20080112070815,NA,Cluster 3  | n =  2178,t1
20080112070818,NA,Cluster 3  | n =  2178,t1
20080112070825,NA,Cluster 3  | n =  2178,t1
20080112070827,NA,Cluster 3  | n =  2178,t1
20080112070830,NA,Cluster 3  | n =  2178,t1
20080112070842,NA,Cluster 1  | n =  2567,t1
20080112070851,NA,Cluster 3  | n =  2178,t1
20080112070853,NA,Cluster 1  | n =  2567,t1
20080112070856,NA,Cluster 3  | n =  2178,t1
20080112070857,NA,Cluster 1  | n =  2567,t1
20080112070859,NA,Cluster 1  | n =  2567,t1
20080112070861,NA,Cluster 3  | n =  2178,t1
20080112070863,NA,Cluster 1  | n =  2567,t1
20080112070874,NA,Cluster 3  | n =  2178,t1
20080112070877,NA,Cluster 1  | n =  2567,t1
20080112070895,NA,Cluster 1  | n =  2567,t1
20080112070898,NA,Cluster 3  | n =  2178,t1
20080112070901,NA,Cluster 1  | n =  2567,t1
20080112070903,NA,Cluster 3  | n =  2178,t1
20080112070924,NA,Cluster 1  | n =  2567,t1
20080112070926,NA,Cluster 3  | n =  2178,t1
20080112070931,NA,Cluster 1  | n =  2567,t1
20080112070951,NA,Cluster 3  | n =  2178,t1
20080112070952,NA,Cluster 3  | n =  2178,t1
20080112070953,NA,Cluster 1  | n =  2567,t1
20080112070963,NA,Cluster 1  | n =  2567,t1
20080112070977,NA,Cluster 1  | n =  2567,t1
20080112070985,NA,Cluster 3  | n =  2178,t1
20080112071001,NA,Cluster 1  | n =  2567,t1
20080112071019,NA,Cluster 1  | n =  2567,t1
20080112071030,NA,Cluster 3  | n =  2178,t1
20080112071034,NA,Cluster 3  | n =  2178,t1
20080112071040,NA,Cluster 3  | n =  2178,t1
20080112071062,NA,Cluster 1  | n =  2567,t1
20080112071064,NA,Cluster 1  | n =  2567,t1
20080112071065,NA,Cluster 1  | n =  2567,t1
20080112071068,NA,Cluster 1  | n =  2567,t1
20080112071072,NA,Cluster 1  | n =  2567,t1
20080112071077,NA,Cluster 1  | n =  2567,t1
20080112071079,NA,Cluster 3  | n =  2178,t1
20080112071095,NA,Cluster 1  | n =  2567,t1
20080112071099,NA,Cluster 3  | n =  2178,t1
20080112071106,NA,Cluster 3  | n =  2178,t1
20080112071107,NA,Cluster 1  | n =  2567,t1
20080112071113,NA,Cluster 1  | n =  2567,t1
20080112071119,NA,Cluster 3  | n =  2178,t1
20080112071121,NA,Cluster 1  | n =  2567,t1
20080112071126,NA,Cluster 1  | n =  2567,t1
20080112071131,NA,Cluster 1  | n =  2567,t1
20080112071153,NA,Cluster 1  | n =  2567,t1
20080112071155,NA,Cluster 1  | n =  2567,t1
20080112071158,NA,Cluster 3  | n =  2178,t1
20080112071159,NA,Cluster 1  | n =  2567,t1
20080112071166,NA,Cluster 2  | n =  255,t1
20080112071168,NA,Cluster 1  | n =  2567,t1
20080112071179,NA,Cluster 1  | n =  2567,t1
20080112071184,NA,Cluster 3  | n =  2178,t1
20080112071185,NA,Cluster 1  | n =  2567,t1
20080112071186,NA,Cluster 2  | n =  255,t1
20080112071190,NA,Cluster 1  | n =  2567,t1
20080112071203,NA,Cluster 1  | n =  2567,t1
20080112071213,NA,Cluster 1  | n =  2567,t1
20080112071214,NA,Cluster 1  | n =  2567,t1
20080112071221,NA,Cluster 1  | n =  2567,t1
20080112071225,NA,Cluster 3  | n =  2178,t1
20080112071239,NA,Cluster 3  | n =  2178,t1
20080112071241,NA,Cluster 3  | n =  2178,t1
20080112071261,NA,Cluster 3  | n =  2178,t1
20080112071263,NA,Cluster 3  | n =  2178,t1
20080112071277,NA,Cluster 1  | n =  2567,t1
20080112071285,NA,Cluster 1  | n =  2567,t1
20080112071289,NA,Cluster 1  | n =  2567,t1
20080112071295,NA,Cluster 3  | n =  2178,t1
20080112071298,NA,Cluster 2  | n =  255,t1
20080112071302,NA,Cluster 2  | n =  255,t1
20080112071317,NA,Cluster 1  | n =  2567,t1
20080112071326,NA,Cluster 1  | n =  2567,t1
20080112071333,NA,Cluster 1  | n =  2567,t1
20080112071335,NA,Cluster 1  | n =  2567,t1
20080112071337,NA,Cluster 1  | n =  2567,t1
20080112071341,NA,Cluster 2  | n =  255,t1
