ID,pair_id,cluster,time
20140502140884,1,Cluster 1  | n =  1674,t1
20140502140888,2,Cluster 1  | n =  1674,t1
20140502141946,3,Cluster 3  | n =  1454,t1
20140503140034,4,Cluster 1  | n =  1674,t1
20140503140096,5,Cluster 3  | n =  1454,t1
20140503140531,6,Cluster 2  | n =  352,t1
20140503140572,7,Cluster 3  | n =  1454,t1
20140503140587,8,Cluster 1  | n =  1674,t1
20140503140653,9,Cluster 1  | n =  1674,t1
20140503140694,10,Cluster 3  | n =  1454,t1
20140503140706,11,Cluster 3  | n =  1454,t1
20140503140711,12,Cluster 1  | n =  1674,t1
20140503140712,13,Cluster 3  | n =  1454,t1
20140503140719,14,Cluster 1  | n =  1674,t1
20140503140737,15,Cluster 1  | n =  1674,t1
20140503140761,16,Cluster 1  | n =  1674,t1
20140503140777,17,Cluster 2  | n =  352,t1
20140503140803,18,Cluster 3  | n =  1454,t1
20140503140820,19,Cluster 1  | n =  1674,t1
20140503140854,20,Cluster 2  | n =  352,t1
20140503140869,21,Cluster 1  | n =  1674,t1
20140503140913,22,Cluster 3  | n =  1454,t1
20140503140984,23,Cluster 1  | n =  1674,t1
20140503141041,24,Cluster 3  | n =  1454,t1
20140503141140,25,Cluster 1  | n =  1674,t1
20140503141189,26,Cluster 1  | n =  1674,t1
20140503141202,27,Cluster 1  | n =  1674,t1
20140503141238,28,Cluster 1  | n =  1674,t1
20140503141255,29,Cluster 3  | n =  1454,t1
20140503141294,30,Cluster 1  | n =  1674,t1
20140503141297,31,Cluster 1  | n =  1674,t1
20140503141317,32,Cluster 1  | n =  1674,t1
20140503141332,33,Cluster 2  | n =  352,t1
20140503141335,34,Cluster 1  | n =  1674,t1
20140503141408,35,Cluster 2  | n =  352,t1
20140503141451,36,Cluster 1  | n =  1674,t1
20140503141467,37,Cluster 3  | n =  1454,t1
20140503141497,38,Cluster 3  | n =  1454,t1
20140503141521,39,Cluster 1  | n =  1674,t1
20140503141608,40,Cluster 3  | n =  1454,t1
20140503141643,41,Cluster 1  | n =  1674,t1
20140503141694,42,Cluster 3  | n =  1454,t1
20140503141727,43,Cluster 1  | n =  1674,t1
20140503141739,44,Cluster 1  | n =  1674,t1
20140503141770,45,Cluster 1  | n =  1674,t1
20140503141795,46,Cluster 2  | n =  352,t1
20140503141818,47,Cluster 1  | n =  1674,t1
20140503141843,48,Cluster 1  | n =  1674,t1
20140503141882,49,Cluster 1  | n =  1674,t1
20140503141886,50,Cluster 1  | n =  1674,t1
20140503141917,51,Cluster 2  | n =  352,t1
20140503141949,52,Cluster 1  | n =  1674,t1
20140503141978,53,Cluster 3  | n =  1454,t1
20140503141982,54,Cluster 1  | n =  1674,t1
20140503142053,55,Cluster 3  | n =  1454,t1
20140503142080,56,Cluster 1  | n =  1674,t1
20140503142088,57,Cluster 3  | n =  1454,t1
20140503142118,58,Cluster 3  | n =  1454,t1
20140503142171,59,Cluster 1  | n =  1674,t1
20140503142183,60,Cluster 1  | n =  1674,t1
20140503142251,61,Cluster 2  | n =  352,t1
20140503142262,62,Cluster 3  | n =  1454,t1
20140503142277,63,Cluster 1  | n =  1674,t1
20140503142288,64,Cluster 1  | n =  1674,t1
20140503142307,65,Cluster 1  | n =  1674,t1
20140503142324,66,Cluster 3  | n =  1454,t1
20140503142368,68,Cluster 3  | n =  1454,t1
