t1,t2,n
Cluster 1,Cluster 1,1242
Cluster 2,Cluster 1,92
Cluster 3,Cluster 1,228
Cluster 1,Cluster 2,80
Cluster 2,Cluster 2,196
Cluster 3,Cluster 2,84
Cluster 1,Cluster 3,49
Cluster 2,Cluster 3,24
Cluster 3,Cluster 3,461
Cluster 1,Cluster unmatched 1,132
Cluster 2,Cluster unmatched 1,38
Cluster 3,Cluster unmatched 1,551
Cluster 1,Cluster unmatched 2,24
Cluster 2,Cluster unmatched 2,5
Cluster 3,Cluster unmatched 2,94
