ID,pair_id,cluster,time
20140111131515,NA,Cluster 6  | n =  889,t1
20140111131525,NA,Cluster 2  | n =  2413,t1
20140111131531,NA,Cluster 6  | n =  889,t1
20140111131588,NA,Cluster 2  | n =  2413,t1
20140111131601,NA,Cluster 2  | n =  2413,t1
20140111131603,NA,Cluster 2  | n =  2413,t1
20140111131652,NA,Cluster 4  | n =  207,t1
20140111131691,NA,Cluster 3  | n =  822,t1
20140111131692,NA,Cluster 5  | n =  929,t1
20140111131708,NA,Cluster 2  | n =  2413,t1
20140111131778,NA,Cluster 6  | n =  889,t1
20140111131870,NA,Cluster 1  | n =  217,t1
20140111131921,NA,Cluster 2  | n =  2413,t1
20140111131950,NA,Cluster 2  | n =  2413,t1
20140111131960,NA,Cluster 2  | n =  2413,t1
20140111132014,NA,Cluster 6  | n =  889,t1
20140111132042,NA,Cluster 2  | n =  2413,t1
20140111132047,NA,Cluster 6  | n =  889,t1
20140111132056,NA,Cluster 2  | n =  2413,t1
20140111132088,NA,Cluster 6  | n =  889,t1
20140111132153,NA,Cluster 1  | n =  217,t1
20140111132156,NA,Cluster 2  | n =  2413,t1
20140111132205,NA,Cluster 2  | n =  2413,t1
20140111132207,NA,Cluster 2  | n =  2413,t1
20140111132228,NA,Cluster 3  | n =  822,t1
20140111132288,NA,Cluster 1  | n =  217,t1
20140111132317,NA,Cluster 6  | n =  889,t1
20140111132340,NA,Cluster 2  | n =  2413,t1
20140111132352,NA,Cluster 5  | n =  929,t1
20140111132362,NA,Cluster 2  | n =  2413,t1
20140111132464,NA,Cluster 2  | n =  2413,t1
20140111132472,NA,Cluster 6  | n =  889,t1
20140111132483,NA,Cluster 2  | n =  2413,t1
20140111132491,NA,Cluster 2  | n =  2413,t1
20140111132507,NA,Cluster 4  | n =  207,t1
20140112130007,NA,Cluster 5  | n =  929,t1
20140112130025,NA,Cluster 3  | n =  822,t1
20140112130031,NA,Cluster 2  | n =  2413,t1
20140112130035,NA,Cluster 2  | n =  2413,t1
20140112130042,NA,Cluster 3  | n =  822,t1
20140112130045,NA,Cluster 3  | n =  822,t1
20140112130060,NA,Cluster 5  | n =  929,t1
20140112130061,NA,Cluster 5  | n =  929,t1
20140112130071,NA,Cluster 2  | n =  2413,t1
20140112130094,NA,Cluster 2  | n =  2413,t1
20140112130099,NA,Cluster 3  | n =  822,t1
20140112130105,NA,Cluster 2  | n =  2413,t1
20140112130106,NA,Cluster 2  | n =  2413,t1
20140112130116,NA,Cluster 3  | n =  822,t1
20140112130129,NA,Cluster 2  | n =  2413,t1
20140112130132,NA,Cluster 3  | n =  822,t1
20140112130137,NA,Cluster 2  | n =  2413,t1
20140112130144,NA,Cluster 2  | n =  2413,t1
20140112130152,NA,Cluster 5  | n =  929,t1
20140112130182,NA,Cluster 5  | n =  929,t1
20140112130186,NA,Cluster 2  | n =  2413,t1
20140112130501,NA,Cluster 2  | n =  2413,t1
20140112130510,NA,Cluster 2  | n =  2413,t1
20140112130514,NA,Cluster 3  | n =  822,t1
20140112130515,NA,Cluster 2  | n =  2413,t1
20140112130524,NA,Cluster 6  | n =  889,t1
20140112130525,NA,Cluster 1  | n =  217,t1
20140112130537,NA,Cluster 2  | n =  2413,t1
20140112130538,NA,Cluster 6  | n =  889,t1
20140112130541,NA,Cluster 5  | n =  929,t1
20140112130544,NA,Cluster 2  | n =  2413,t1
20140112130545,NA,Cluster 3  | n =  822,t1
20140112130556,NA,Cluster 3  | n =  822,t1
20140112130557,NA,Cluster 3  | n =  822,t1
20140112130567,NA,Cluster 2  | n =  2413,t1
20140112130569,NA,Cluster 5  | n =  929,t1
20140112130581,NA,Cluster 2  | n =  2413,t1
20140112130586,NA,Cluster 6  | n =  889,t1
20140112130589,NA,Cluster 2  | n =  2413,t1
20140112130591,NA,Cluster 5  | n =  929,t1
20140112130600,NA,Cluster 2  | n =  2413,t1
20140112130613,NA,Cluster 2  | n =  2413,t1
20140112130615,NA,Cluster 4  | n =  207,t1
20140112130621,NA,Cluster 2  | n =  2413,t1
20140112130625,NA,Cluster 5  | n =  929,t1
20140112130633,NA,Cluster 1  | n =  217,t1
20140112130634,NA,Cluster 3  | n =  822,t1
20140112130637,NA,Cluster 3  | n =  822,t1
20140112130638,NA,Cluster 1  | n =  217,t1
20140112130640,NA,Cluster 2  | n =  2413,t1
20140112130645,NA,Cluster 2  | n =  2413,t1
20140112130649,NA,Cluster 1  | n =  217,t1
20140112130650,NA,Cluster 2  | n =  2413,t1
20140112130658,NA,Cluster 3  | n =  822,t1
20140112130664,NA,Cluster 2  | n =  2413,t1
20140112130668,NA,Cluster 2  | n =  2413,t1
20140112130672,NA,Cluster 2  | n =  2413,t1
20140112130683,NA,Cluster 5  | n =  929,t1
20140112130687,NA,Cluster 2  | n =  2413,t1
20140112130688,NA,Cluster 2  | n =  2413,t1
20140112130697,NA,Cluster 6  | n =  889,t1
20140112130701,NA,Cluster 2  | n =  2413,t1
20140112130711,NA,Cluster 2  | n =  2413,t1
20140112130714,NA,Cluster 3  | n =  822,t1
20140112130717,NA,Cluster 5  | n =  929,t1
20140112130725,NA,Cluster 2  | n =  2413,t1
20140112130730,NA,Cluster 3  | n =  822,t1
20140112130740,NA,Cluster 6  | n =  889,t1
20140112130746,NA,Cluster 5  | n =  929,t1
20140112130748,NA,Cluster 2  | n =  2413,t1
20140112130757,NA,Cluster 4  | n =  207,t1
20140112130758,NA,Cluster 3  | n =  822,t1
20140112130763,NA,Cluster 1  | n =  217,t1
20140112130767,NA,Cluster 6  | n =  889,t1
20140112130772,NA,Cluster 5  | n =  929,t1
20140112130785,NA,Cluster 2  | n =  2413,t1
20140112130790,NA,Cluster 5  | n =  929,t1
20140112130791,NA,Cluster 2  | n =  2413,t1
20140112130799,NA,Cluster 4  | n =  207,t1
20140112130803,NA,Cluster 2  | n =  2413,t1
20140112130809,NA,Cluster 2  | n =  2413,t1
20140112130810,NA,Cluster 6  | n =  889,t1
20140112130834,NA,Cluster 2  | n =  2413,t1
20140112130836,NA,Cluster 5  | n =  929,t1
20140112130838,NA,Cluster 2  | n =  2413,t1
20140112130842,NA,Cluster 2  | n =  2413,t1
20140112130843,NA,Cluster 2  | n =  2413,t1
20140112130845,NA,Cluster 5  | n =  929,t1
20140112130846,NA,Cluster 2  | n =  2413,t1
20140112130847,NA,Cluster 5  | n =  929,t1
20140112130848,NA,Cluster 5  | n =  929,t1
20140112130850,NA,Cluster 5  | n =  929,t1
20140112130870,NA,Cluster 4  | n =  207,t1
20140112130873,NA,Cluster 2  | n =  2413,t1
20140112130884,NA,Cluster 5  | n =  929,t1
20140112130885,NA,Cluster 2  | n =  2413,t1
20140112130886,NA,Cluster 4  | n =  207,t1
20140112130888,NA,Cluster 2  | n =  2413,t1
20140112130891,NA,Cluster 6  | n =  889,t1
20140112130901,NA,Cluster 3  | n =  822,t1
20140112130904,NA,Cluster 5  | n =  929,t1
20140112130912,NA,Cluster 4  | n =  207,t1
20140112130921,NA,Cluster 2  | n =  2413,t1
20140112130927,NA,Cluster 4  | n =  207,t1
20140112130930,NA,Cluster 5  | n =  929,t1
20140112130934,NA,Cluster 4  | n =  207,t1
20140112130937,NA,Cluster 2  | n =  2413,t1
20140112130940,NA,Cluster 3  | n =  822,t1
20140112130952,NA,Cluster 3  | n =  822,t1
20140112130960,NA,Cluster 2  | n =  2413,t1
20140112130963,NA,Cluster 3  | n =  822,t1
20140112130971,NA,Cluster 6  | n =  889,t1
20140112130973,NA,Cluster 2  | n =  2413,t1
20140112130977,NA,Cluster 6  | n =  889,t1
20140112130979,NA,Cluster 2  | n =  2413,t1
20140112130982,NA,Cluster 1  | n =  217,t1
20140112130986,NA,Cluster 5  | n =  929,t1
20140112130996,NA,Cluster 3  | n =  822,t1
20140112131000,NA,Cluster 2  | n =  2413,t1
20140112131007,NA,Cluster 5  | n =  929,t1
20140112131010,NA,Cluster 2  | n =  2413,t1
20140112131014,NA,Cluster 2  | n =  2413,t1
20140112131022,NA,Cluster 2  | n =  2413,t1
20140112131026,NA,Cluster 2  | n =  2413,t1
20140112131027,NA,Cluster 2  | n =  2413,t1
20140112131036,NA,Cluster 1  | n =  217,t1
20140112131039,NA,Cluster 2  | n =  2413,t1
20140112131040,NA,Cluster 6  | n =  889,t1
20140112131043,NA,Cluster 3  | n =  822,t1
20140112131044,NA,Cluster 2  | n =  2413,t1
20140112131054,NA,Cluster 2  | n =  2413,t1
20140112131058,NA,Cluster 5  | n =  929,t1
20140112131060,NA,Cluster 3  | n =  822,t1
20140112131069,NA,Cluster 2  | n =  2413,t1
20140112131077,NA,Cluster 2  | n =  2413,t1
20140112131085,NA,Cluster 2  | n =  2413,t1
20140112131100,NA,Cluster 2  | n =  2413,t1
20140112131110,NA,Cluster 2  | n =  2413,t1
20140112131127,NA,Cluster 5  | n =  929,t1
20140112131141,NA,Cluster 2  | n =  2413,t1
20140112131143,NA,Cluster 2  | n =  2413,t1
20140112131152,NA,Cluster 6  | n =  889,t1
20140112131155,NA,Cluster 2  | n =  2413,t1
20140112131158,NA,Cluster 5  | n =  929,t1
20140112131161,NA,Cluster 3  | n =  822,t1
20140112131172,NA,Cluster 2  | n =  2413,t1
20140112131185,NA,Cluster 5  | n =  929,t1
20140112131191,NA,Cluster 3  | n =  822,t1
20140112131200,NA,Cluster 2  | n =  2413,t1
20140112131205,NA,Cluster 6  | n =  889,t1
20140112131213,NA,Cluster 2  | n =  2413,t1
20140112131224,NA,Cluster 2  | n =  2413,t1
20140112131230,NA,Cluster 3  | n =  822,t1
20140112131243,NA,Cluster 3  | n =  822,t1
20140112131255,NA,Cluster 2  | n =  2413,t1
20140112131266,NA,Cluster 2  | n =  2413,t1
20140112131273,NA,Cluster 2  | n =  2413,t1
20140112131284,NA,Cluster 2  | n =  2413,t1
20140112131308,NA,Cluster 5  | n =  929,t1
20140112131312,NA,Cluster 5  | n =  929,t1
20140112131318,NA,Cluster 3  | n =  822,t1
20140112131319,NA,Cluster 5  | n =  929,t1
20140112131325,NA,Cluster 2  | n =  2413,t1
20140112131328,NA,Cluster 2  | n =  2413,t1
20140112131353,NA,Cluster 6  | n =  889,t1
20140112131356,NA,Cluster 3  | n =  822,t1
20140112131362,NA,Cluster 2  | n =  2413,t1
20140112131369,NA,Cluster 2  | n =  2413,t1
20140112131377,NA,Cluster 2  | n =  2413,t1
20140112131381,NA,Cluster 3  | n =  822,t1
20140112131383,NA,Cluster 5  | n =  929,t1
20140112131401,NA,Cluster 2  | n =  2413,t1
20140112131410,NA,Cluster 2  | n =  2413,t1
20140112131411,NA,Cluster 3  | n =  822,t1
20140112131414,NA,Cluster 2  | n =  2413,t1
20140112131424,NA,Cluster 2  | n =  2413,t1
20140112131425,NA,Cluster 5  | n =  929,t1
20140112131426,NA,Cluster 6  | n =  889,t1
20140112131427,NA,Cluster 2  | n =  2413,t1
20140112131436,NA,Cluster 2  | n =  2413,t1
20140112131441,NA,Cluster 3  | n =  822,t1
20140112131444,NA,Cluster 2  | n =  2413,t1
20140112131454,NA,Cluster 2  | n =  2413,t1
20140112131455,NA,Cluster 3  | n =  822,t1
20140112131460,NA,Cluster 6  | n =  889,t1
20140112131463,NA,Cluster 5  | n =  929,t1
20140112131464,NA,Cluster 6  | n =  889,t1
20140112131469,NA,Cluster 2  | n =  2413,t1
20140112131471,NA,Cluster 6  | n =  889,t1
20140112131479,NA,Cluster 2  | n =  2413,t1
20140112131501,NA,Cluster 6  | n =  889,t1
20140112131508,NA,Cluster 3  | n =  822,t1
20140112131515,NA,Cluster 2  | n =  2413,t1
20140112131523,NA,Cluster 2  | n =  2413,t1
20140112131534,NA,Cluster 2  | n =  2413,t1
20140112131536,NA,Cluster 4  | n =  207,t1
20140112131561,NA,Cluster 6  | n =  889,t1
20140112131569,NA,Cluster 2  | n =  2413,t1
20140112131571,NA,Cluster 3  | n =  822,t1
20140112131574,NA,Cluster 2  | n =  2413,t1
20140112131590,NA,Cluster 1  | n =  217,t1
20140112131591,NA,Cluster 6  | n =  889,t1
20140112131594,NA,Cluster 2  | n =  2413,t1
20140112131595,NA,Cluster 5  | n =  929,t1
20140112131609,NA,Cluster 5  | n =  929,t1
20140112131610,NA,Cluster 6  | n =  889,t1
20140112131615,NA,Cluster 2  | n =  2413,t1
20140112131619,NA,Cluster 2  | n =  2413,t1
20140112131622,NA,Cluster 5  | n =  929,t1
20140112131623,NA,Cluster 2  | n =  2413,t1
20140112131626,NA,Cluster 5  | n =  929,t1
20140112131629,NA,Cluster 5  | n =  929,t1
20140112131632,NA,Cluster 3  | n =  822,t1
20140112131643,NA,Cluster 2  | n =  2413,t1
20140112131645,NA,Cluster 3  | n =  822,t1
20140112131651,NA,Cluster 3  | n =  822,t1
20140112131657,NA,Cluster 6  | n =  889,t1
20140112131667,NA,Cluster 5  | n =  929,t1
20140112131676,NA,Cluster 2  | n =  2413,t1
20140112131698,NA,Cluster 2  | n =  2413,t1
20140112131710,NA,Cluster 3  | n =  822,t1
20140112131712,NA,Cluster 4  | n =  207,t1
20140112131720,NA,Cluster 5  | n =  929,t1
20140112131725,NA,Cluster 2  | n =  2413,t1
20140112131726,NA,Cluster 6  | n =  889,t1
20140112131728,NA,Cluster 6  | n =  889,t1
20140112131732,NA,Cluster 6  | n =  889,t1
20140112131737,NA,Cluster 5  | n =  929,t1
20140112131740,NA,Cluster 5  | n =  929,t1
20140112131741,NA,Cluster 5  | n =  929,t1
20140112131749,NA,Cluster 2  | n =  2413,t1
20140112131757,NA,Cluster 2  | n =  2413,t1
20140112131768,NA,Cluster 5  | n =  929,t1
20140112131774,NA,Cluster 2  | n =  2413,t1
20140112131775,NA,Cluster 2  | n =  2413,t1
20140112131778,NA,Cluster 2  | n =  2413,t1
20140112131779,NA,Cluster 6  | n =  889,t1
