ID,pair_id,cluster,time
20060101060014,1,Cluster 2  | n =  302,t1
20060101060025,2,Cluster 1  | n =  2651,t1
20060101060067,3,Cluster 3  | n =  2200,t1
20060101060077,4,Cluster 3  | n =  2200,t1
20060101060092,5,Cluster 1  | n =  2651,t1
20060101060106,6,Cluster 2  | n =  302,t1
20060101060108,7,Cluster 3  | n =  2200,t1
20060101060500,8,Cluster 3  | n =  2200,t1
20060101060534,9,Cluster 3  | n =  2200,t1
20060101060536,10,Cluster 1  | n =  2651,t1
20060101060572,11,Cluster 3  | n =  2200,t1
20060101060580,12,Cluster 3  | n =  2200,t1
20060101060581,13,Cluster 3  | n =  2200,t1
20060101060612,14,Cluster 1  | n =  2651,t1
20060101060620,15,Cluster 3  | n =  2200,t1
20060101060629,16,Cluster 3  | n =  2200,t1
20060101060641,17,Cluster 3  | n =  2200,t1
20060101060697,18,Cluster 1  | n =  2651,t1
20060101060710,19,Cluster 1  | n =  2651,t1
20060101060711,20,Cluster 3  | n =  2200,t1
20060101060713,21,Cluster 2  | n =  302,t1
20060101060716,22,Cluster 1  | n =  2651,t1
20060101060857,23,Cluster 3  | n =  2200,t1
20060101060875,24,Cluster 1  | n =  2651,t1
20060101060924,25,Cluster 3  | n =  2200,t1
20060101060939,26,Cluster 1  | n =  2651,t1
20060101060982,27,Cluster 1  | n =  2651,t1
20060101060996,28,Cluster 1  | n =  2651,t1
20060101061011,29,Cluster 1  | n =  2651,t1
20060101061026,30,Cluster 1  | n =  2651,t1
20060101061036,31,Cluster 1  | n =  2651,t1
20060101061048,32,Cluster 3  | n =  2200,t1
20060101061054,33,Cluster 3  | n =  2200,t1
20060101061074,34,Cluster 3  | n =  2200,t1
20060101061083,35,Cluster 3  | n =  2200,t1
20060101061094,36,Cluster 3  | n =  2200,t1
20060101061141,37,Cluster 3  | n =  2200,t1
20060101061164,38,Cluster 1  | n =  2651,t1
20060101061189,39,Cluster 3  | n =  2200,t1
20060101061226,40,Cluster 1  | n =  2651,t1
20060101061230,41,Cluster 1  | n =  2651,t1
20060101061232,42,Cluster 3  | n =  2200,t1
20060101061242,43,Cluster 3  | n =  2200,t1
20060101061244,44,Cluster 3  | n =  2200,t1
20060101061282,45,Cluster 3  | n =  2200,t1
20060101061284,46,Cluster 3  | n =  2200,t1
20060101061287,47,Cluster 1  | n =  2651,t1
20060101061291,48,Cluster 1  | n =  2651,t1
20060101061321,49,Cluster 1  | n =  2651,t1
20060101061325,50,Cluster 3  | n =  2200,t1
20060101061352,51,Cluster 1  | n =  2651,t1
20060101061362,52,Cluster 1  | n =  2651,t1
20060101061387,53,Cluster 1  | n =  2651,t1
20060101061402,54,Cluster 2  | n =  302,t1
20060101061406,55,Cluster 3  | n =  2200,t1
20060101061443,56,Cluster 3  | n =  2200,t1
20060101061484,57,Cluster 1  | n =  2651,t1
20060101061486,58,Cluster 1  | n =  2651,t1
20060101061555,59,Cluster 1  | n =  2651,t1
20060101061597,60,Cluster 1  | n =  2651,t1
20060101061636,61,Cluster 3  | n =  2200,t1
20060101061716,62,Cluster 3  | n =  2200,t1
20060101061720,63,Cluster 3  | n =  2200,t1
20060101061729,64,Cluster 1  | n =  2651,t1
20060101061740,65,Cluster 3  | n =  2200,t1
20060101061757,66,Cluster 3  | n =  2200,t1
20060101061781,67,Cluster 1  | n =  2651,t1
20060101061783,68,Cluster 1  | n =  2651,t1
20060101061805,69,Cluster 1  | n =  2651,t1
20060101061815,70,Cluster 2  | n =  302,t1
20060101061854,71,Cluster 1  | n =  2651,t1
20060101061868,72,Cluster 1  | n =  2651,t1
20060101061900,73,Cluster 3  | n =  2200,t1
20060101061917,74,Cluster 3  | n =  2200,t1
20060101061920,75,Cluster 1  | n =  2651,t1
20060101061927,76,Cluster 3  | n =  2200,t1
20060101061931,77,Cluster 1  | n =  2651,t1
20060101061968,78,Cluster 1  | n =  2651,t1
20060101061971,79,Cluster 2  | n =  302,t1
20060101061973,80,Cluster 3  | n =  2200,t1
20060101061975,81,Cluster 3  | n =  2200,t1
20060101061988,82,Cluster 1  | n =  2651,t1
20060101061999,83,Cluster 1  | n =  2651,t1
20060101062025,84,Cluster 1  | n =  2651,t1
20060101062027,85,Cluster 1  | n =  2651,t1
20060101062036,86,Cluster 1  | n =  2651,t1
20060101062041,87,Cluster 3  | n =  2200,t1
20060101062057,88,Cluster 3  | n =  2200,t1
20060101062067,89,Cluster 3  | n =  2200,t1
20060101062083,90,Cluster 3  | n =  2200,t1
20060101062140,91,Cluster 1  | n =  2651,t1
20060101062165,92,Cluster 1  | n =  2651,t1
20060101062213,93,Cluster 1  | n =  2651,t1
20060101062222,94,Cluster 1  | n =  2651,t1
20060101062239,95,Cluster 3  | n =  2200,t1
20060101062244,96,Cluster 2  | n =  302,t1
20060101062275,97,Cluster 3  | n =  2200,t1
20060101062290,99,Cluster 3  | n =  2200,t1
20060101062323,100,Cluster 3  | n =  2200,t1
20060101062324,101,Cluster 3  | n =  2200,t1
20060101062331,102,Cluster 3  | n =  2200,t1
