t1,t2,n
Cluster 1,Cluster 1,986
Cluster 2,Cluster 1,176
Cluster 3,Cluster 1,443
Cluster 1,Cluster 2,163
Cluster 2,Cluster 2,145
Cluster 3,Cluster 2,38
Cluster 1,Cluster 3,119
Cluster 2,Cluster 3,10
Cluster 3,Cluster 3,408
Cluster 1,Cluster unmatched 1,232
Cluster 2,Cluster unmatched 1,27
Cluster 3,Cluster unmatched 1,480
Cluster 1,Cluster unmatched 2,29
Cluster 2,Cluster unmatched 2,6
Cluster 3,Cluster unmatched 2,87
