t1,t2,n
Cluster 1,Cluster 1,1511
Cluster 2,Cluster 1,232
Cluster 3,Cluster 1,39
Cluster 4,Cluster 1,284
Cluster 5,Cluster 1,347
Cluster 1,Cluster 2,918
Cluster 2,Cluster 2,546
Cluster 3,Cluster 2,59
Cluster 4,Cluster 2,503
Cluster 5,Cluster 2,516
Cluster 1,Cluster 3,40
Cluster 2,Cluster 3,26
Cluster 3,Cluster 3,86
Cluster 4,Cluster 3,27
Cluster 5,Cluster 3,10
