ID,cluster,time
20130504130891,Cluster 1  |  n = 1500,t1
20130504130897,Cluster 2  |  n = 1501,t1
20130504130898,Cluster 2  |  n = 1501,t1
20130504130903,Cluster 1  |  n = 1500,t1
20130504130908,Cluster 1  |  n = 1500,t1
20130504130909,Cluster 2  |  n = 1501,t1
20130504130929,Cluster 3  |  n = 355,t1
20130504130932,Cluster 1  |  n = 1500,t1
20130504130937,Cluster 3  |  n = 355,t1
20130504130942,Cluster 1  |  n = 1500,t1
20130504130949,Cluster 2  |  n = 1501,t1
20130504130963,Cluster 2  |  n = 1501,t1
20130504130967,Cluster 1  |  n = 1500,t1
20130504130983,Cluster 3  |  n = 355,t1
20130504130994,Cluster 1  |  n = 1500,t1
20130504131011,Cluster 1  |  n = 1500,t1
20130504131014,Cluster 1  |  n = 1500,t1
20130504131019,Cluster 1  |  n = 1500,t1
20130504131025,Cluster 1  |  n = 1500,t1
20130504131026,Cluster 2  |  n = 1501,t1
20130504131027,Cluster 3  |  n = 355,t1
20130504131031,Cluster 2  |  n = 1501,t1
20130504131035,Cluster 2  |  n = 1501,t1
20130504131038,Cluster 3  |  n = 355,t1
20130504131040,Cluster 3  |  n = 355,t1
20130504131045,Cluster 2  |  n = 1501,t1
20130504131046,Cluster 2  |  n = 1501,t1
20130504131054,Cluster 1  |  n = 1500,t1
20130504131056,Cluster 1  |  n = 1500,t1
20130504131057,Cluster 2  |  n = 1501,t1
20130504131059,Cluster 1  |  n = 1500,t1
20130504131060,Cluster 2  |  n = 1501,t1
20130504131061,Cluster 2  |  n = 1501,t1
20130504131066,Cluster 1  |  n = 1500,t1
20130504131091,Cluster 2  |  n = 1501,t1
20130504131107,Cluster 1  |  n = 1500,t1
20130504131127,Cluster 1  |  n = 1500,t1
20130504131129,Cluster 2  |  n = 1501,t1
20130504131132,Cluster 2  |  n = 1501,t1
20130504131141,Cluster 1  |  n = 1500,t1
20130504131151,Cluster 2  |  n = 1501,t1
20130504131160,Cluster 2  |  n = 1501,t1
20130504131173,Cluster 2  |  n = 1501,t1
20130504131177,Cluster 1  |  n = 1500,t1
20130504131183,Cluster 1  |  n = 1500,t1
20130504131185,Cluster 2  |  n = 1501,t1
20130504131190,Cluster 1  |  n = 1500,t1
20130504131196,Cluster 3  |  n = 355,t1
20130504131199,Cluster 2  |  n = 1501,t1
20130504131216,Cluster 3  |  n = 355,t1
20130504131223,Cluster 1  |  n = 1500,t1
20130504131225,Cluster 1  |  n = 1500,t1
20130504131227,Cluster 1  |  n = 1500,t1
20130504131230,Cluster 1  |  n = 1500,t1
20130504131236,Cluster 1  |  n = 1500,t1
20130504131242,Cluster 1  |  n = 1500,t1
20130504131246,Cluster 2  |  n = 1501,t1
20130504131250,Cluster 2  |  n = 1501,t1
20130504131259,Cluster 2  |  n = 1501,t1
20130504131282,Cluster 1  |  n = 1500,t1
20130504131284,Cluster 2  |  n = 1501,t1
20130504131285,Cluster 1  |  n = 1500,t1
20130504131288,Cluster 1  |  n = 1500,t1
20130504131293,Cluster 1  |  n = 1500,t1
20130504131306,Cluster 2  |  n = 1501,t1
20130504131308,Cluster 1  |  n = 1500,t1
20130504131313,Cluster 2  |  n = 1501,t1
20130504131332,Cluster 3  |  n = 355,t1
20130504131335,Cluster 2  |  n = 1501,t1
20130504131339,Cluster 1  |  n = 1500,t1
20130504131346,Cluster 2  |  n = 1501,t1
20130504131349,Cluster 2  |  n = 1501,t1
20130504131353,Cluster 2  |  n = 1501,t1
20130504131363,Cluster 3  |  n = 355,t1
20130504131369,Cluster 3  |  n = 355,t1
20130504131379,Cluster 2  |  n = 1501,t1
20130504131391,Cluster 2  |  n = 1501,t1
20130504131395,Cluster 1  |  n = 1500,t1
20130504131399,Cluster 1  |  n = 1500,t1
20130504131401,Cluster 1  |  n = 1500,t1
20130504131407,Cluster 1  |  n = 1500,t1
20130504131415,Cluster 2  |  n = 1501,t1
20130504131422,Cluster 1  |  n = 1500,t1
20130504131423,Cluster 2  |  n = 1501,t1
20130504131428,Cluster 1  |  n = 1500,t1
20130504131430,Cluster 2  |  n = 1501,t1
20130504131431,Cluster 3  |  n = 355,t1
20130504131434,Cluster 1  |  n = 1500,t1
20130504131447,Cluster 2  |  n = 1501,t1
20130504131455,Cluster 1  |  n = 1500,t1
20130504131464,Cluster 2  |  n = 1501,t1
20130504131466,Cluster 2  |  n = 1501,t1
20130504131493,Cluster 1  |  n = 1500,t1
20130504131497,Cluster 1  |  n = 1500,t1
20130504131501,Cluster 2  |  n = 1501,t1
20130504131512,Cluster 2  |  n = 1501,t1
20130504131516,Cluster 1  |  n = 1500,t1
20130504131518,Cluster 2  |  n = 1501,t1
20130504131530,Cluster 1  |  n = 1500,t1
20130504131532,Cluster 2  |  n = 1501,t1
20130504131546,Cluster 2  |  n = 1501,t1
20130504131551,Cluster 2  |  n = 1501,t1
20130504131561,Cluster 2  |  n = 1501,t1
20130504131567,Cluster 2  |  n = 1501,t1
20130504131570,Cluster 2  |  n = 1501,t1
20130504131571,Cluster 2  |  n = 1501,t1
20130504131577,Cluster 2  |  n = 1501,t1
20130504131588,Cluster 1  |  n = 1500,t1
20130504131590,Cluster 3  |  n = 355,t1
20130504131594,Cluster 1  |  n = 1500,t1
20130504131595,Cluster 3  |  n = 355,t1
20130504131601,Cluster 2  |  n = 1501,t1
20130504131602,Cluster 2  |  n = 1501,t1
20130504131606,Cluster 1  |  n = 1500,t1
20130504131608,Cluster 2  |  n = 1501,t1
20130504131614,Cluster 1  |  n = 1500,t1
20130504131615,Cluster 3  |  n = 355,t1
20130504131629,Cluster 2  |  n = 1501,t1
20130504131635,Cluster 2  |  n = 1501,t1
20130504131636,Cluster 1  |  n = 1500,t1
20130504131643,Cluster 1  |  n = 1500,t1
20130504131645,Cluster 2  |  n = 1501,t1
20130504131649,Cluster 3  |  n = 355,t1
20130504131656,Cluster 2  |  n = 1501,t1
20130504131658,Cluster 2  |  n = 1501,t1
20130504131660,Cluster 2  |  n = 1501,t1
20130504131667,Cluster 1  |  n = 1500,t1
20130504131679,Cluster 1  |  n = 1500,t1
20130504131680,Cluster 2  |  n = 1501,t1
20130504131685,Cluster 1  |  n = 1500,t1
20130504131691,Cluster 2  |  n = 1501,t1
20130504131694,Cluster 3  |  n = 355,t1
20130504131695,Cluster 2  |  n = 1501,t1
20130504131697,Cluster 2  |  n = 1501,t1
20130504131714,Cluster 2  |  n = 1501,t1
20130504131732,Cluster 3  |  n = 355,t1
20130504131733,Cluster 1  |  n = 1500,t1
20130504131736,Cluster 2  |  n = 1501,t1
20130504131740,Cluster 2  |  n = 1501,t1
20130504131745,Cluster 1  |  n = 1500,t1
20130504131749,Cluster 2  |  n = 1501,t1
20130504131753,Cluster 2  |  n = 1501,t1
20130504131754,Cluster 2  |  n = 1501,t1
20130504131757,Cluster 1  |  n = 1500,t1
20130504131760,Cluster 2  |  n = 1501,t1
20130504131774,Cluster 1  |  n = 1500,t1
20130504131775,Cluster 3  |  n = 355,t1
20130504131776,Cluster 1  |  n = 1500,t1
20130504131777,Cluster 2  |  n = 1501,t1
20130504131782,Cluster 2  |  n = 1501,t1
20130504131787,Cluster 2  |  n = 1501,t1
20130504131792,Cluster 2  |  n = 1501,t1
20130504131794,Cluster 1  |  n = 1500,t1
20130504131802,Cluster 2  |  n = 1501,t1
20130504131813,Cluster 1  |  n = 1500,t1
20130504131815,Cluster 2  |  n = 1501,t1
20130504131818,Cluster 2  |  n = 1501,t1
20130504131820,Cluster 2  |  n = 1501,t1
20130504131829,Cluster 2  |  n = 1501,t1
20130504131846,Cluster 2  |  n = 1501,t1
20130504131857,Cluster 2  |  n = 1501,t1
20130504131869,Cluster 1  |  n = 1500,t1
20130504131877,Cluster 1  |  n = 1500,t1
20130504131890,Cluster 2  |  n = 1501,t1
20130504131914,Cluster 2  |  n = 1501,t1
20130504131916,Cluster 1  |  n = 1500,t1
20130504131919,Cluster 2  |  n = 1501,t1
20130504131923,Cluster 3  |  n = 355,t1
20130504131958,Cluster 1  |  n = 1500,t1
20130504131960,Cluster 2  |  n = 1501,t1
20130504131966,Cluster 1  |  n = 1500,t1
20130504131969,Cluster 1  |  n = 1500,t1
20130504131971,Cluster 1  |  n = 1500,t1
20130504131992,Cluster 2  |  n = 1501,t1
20130504131995,Cluster 3  |  n = 355,t1
20130504132002,Cluster 2  |  n = 1501,t1
20130504132004,Cluster 2  |  n = 1501,t1
20130504132007,Cluster 1  |  n = 1500,t1
20130504132014,Cluster 1  |  n = 1500,t1
20130504132018,Cluster 2  |  n = 1501,t1
20130504132019,Cluster 2  |  n = 1501,t1
20130504132020,Cluster 2  |  n = 1501,t1
20130504132024,Cluster 2  |  n = 1501,t1
20130504132029,Cluster 1  |  n = 1500,t1
20130504132033,Cluster 1  |  n = 1500,t1
20130504132034,Cluster 2  |  n = 1501,t1
20130504132036,Cluster 2  |  n = 1501,t1
20130504132039,Cluster 2  |  n = 1501,t1
20130504132044,Cluster 2  |  n = 1501,t1
20130504132056,Cluster 3  |  n = 355,t1
20130504132060,Cluster 3  |  n = 355,t1
20130504132063,Cluster 2  |  n = 1501,t1
20130504132065,Cluster 1  |  n = 1500,t1
20130504132069,Cluster 1  |  n = 1500,t1
20130504132075,Cluster 2  |  n = 1501,t1
20130504132077,Cluster 1  |  n = 1500,t1
20130504132078,Cluster 1  |  n = 1500,t1
20130504132079,Cluster 1  |  n = 1500,t1
20130504132083,Cluster 2  |  n = 1501,t1
20130504132087,Cluster 2  |  n = 1501,t1
20130504132094,Cluster 2  |  n = 1501,t1
20130504132097,Cluster 2  |  n = 1501,t1
20130504132101,Cluster 1  |  n = 1500,t1
20130504132103,Cluster 2  |  n = 1501,t1
20130504132115,Cluster 2  |  n = 1501,t1
20130504132123,Cluster 1  |  n = 1500,t1
20130504132132,Cluster 1  |  n = 1500,t1
20130504132135,Cluster 1  |  n = 1500,t1
20130504132140,Cluster 1  |  n = 1500,t1
20130504132148,Cluster 2  |  n = 1501,t1
20130504132151,Cluster 2  |  n = 1501,t1
20130504132154,Cluster 2  |  n = 1501,t1
20130504132156,Cluster 1  |  n = 1500,t1
20130504132160,Cluster 1  |  n = 1500,t1
20130504132168,Cluster 1  |  n = 1500,t1
20130504132177,Cluster 2  |  n = 1501,t1
20130504132184,Cluster 1  |  n = 1500,t1
20130504132189,Cluster 2  |  n = 1501,t1
20130504132190,Cluster 2  |  n = 1501,t1
20130504132224,Cluster 1  |  n = 1500,t1
20130504132227,Cluster 2  |  n = 1501,t1
20130504132228,Cluster 2  |  n = 1501,t1
20130504132235,Cluster 1  |  n = 1500,t1
20130504132236,Cluster 2  |  n = 1501,t1
20130504132240,Cluster 1  |  n = 1500,t1
20130504132243,Cluster 1  |  n = 1500,t1
20130504132248,Cluster 1  |  n = 1500,t1
20130504132275,Cluster 2  |  n = 1501,t1
20130504132289,Cluster 1  |  n = 1500,t1
20130504132290,Cluster 2  |  n = 1501,t1
20130504132291,Cluster 1  |  n = 1500,t1
20130504132292,Cluster 2  |  n = 1501,t1
20130504132298,Cluster 3  |  n = 355,t1
20130504132299,Cluster 1  |  n = 1500,t1
20130504132316,Cluster 1  |  n = 1500,t1
20130504132321,Cluster 3  |  n = 355,t1
