ID,pair_id,cluster,time
20090101090640,NA,Cluster 1  | n =  2670,t1
20090101090643,NA,Cluster 1  | n =  2670,t1
20090101090644,NA,Cluster 4  | n =  1195,t1
20090101090755,NA,Cluster 1  | n =  2670,t1
20090101090793,NA,Cluster 1  | n =  2670,t1
20090101090798,NA,Cluster 4  | n =  1195,t1
20090101090845,NA,Cluster 3  | n =  1221,t1
20090101090878,NA,Cluster 3  | n =  1221,t1
20090101090944,NA,Cluster 4  | n =  1195,t1
20090101090991,NA,Cluster 1  | n =  2670,t1
20090101091015,NA,Cluster 4  | n =  1195,t1
20090101091025,NA,Cluster 1  | n =  2670,t1
20090101091029,NA,Cluster 1  | n =  2670,t1
20090101091034,NA,Cluster 2  | n =  256,t1
20090101091059,NA,Cluster 1  | n =  2670,t1
20090101091085,NA,Cluster 1  | n =  2670,t1
20090101091112,NA,Cluster 4  | n =  1195,t1
20090101091134,NA,Cluster 3  | n =  1221,t1
20090101091153,NA,Cluster 4  | n =  1195,t1
20090101091184,NA,Cluster 4  | n =  1195,t1
20090101091218,NA,Cluster 3  | n =  1221,t1
20090101091238,NA,Cluster 3  | n =  1221,t1
20090101091279,NA,Cluster 1  | n =  2670,t1
20090101091329,NA,Cluster 3  | n =  1221,t1
20090101091334,NA,Cluster 1  | n =  2670,t1
20090101091422,NA,Cluster 3  | n =  1221,t1
20090101091448,NA,Cluster 1  | n =  2670,t1
20090101091462,NA,Cluster 3  | n =  1221,t1
20090101091497,NA,Cluster 1  | n =  2670,t1
20090101091517,NA,Cluster 1  | n =  2670,t1
20090101091542,NA,Cluster 1  | n =  2670,t1
20090101091573,NA,Cluster 4  | n =  1195,t1
20090101091601,NA,Cluster 3  | n =  1221,t1
20090101091686,NA,Cluster 4  | n =  1195,t1
20090101091747,NA,Cluster 1  | n =  2670,t1
20090101091951,NA,Cluster 1  | n =  2670,t1
20090101092027,NA,Cluster 4  | n =  1195,t1
20090101092057,NA,Cluster 1  | n =  2670,t1
20090101092071,NA,Cluster 1  | n =  2670,t1
20090101092083,NA,Cluster 3  | n =  1221,t1
20090101092098,NA,Cluster 4  | n =  1195,t1
20090101092161,NA,Cluster 3  | n =  1221,t1
20090101092179,NA,Cluster 3  | n =  1221,t1
20090101092214,NA,Cluster 3  | n =  1221,t1
20090101092276,NA,Cluster 3  | n =  1221,t1
20090101092287,NA,Cluster 4  | n =  1195,t1
20090101092343,NA,Cluster 4  | n =  1195,t1
20090101092397,NA,Cluster 1  | n =  2670,t1
20090101092422,NA,Cluster 1  | n =  2670,t1
20090110080503,NA,Cluster 1  | n =  2670,t1
20090110081010,NA,Cluster 1  | n =  2670,t1
20090110082505,NA,Cluster 2  | n =  256,t1
20090111080005,NA,Cluster 1  | n =  2670,t1
20090111080529,NA,Cluster 4  | n =  1195,t1
20090111080534,NA,Cluster 3  | n =  1221,t1
20090111080610,NA,Cluster 1  | n =  2670,t1
20090111080616,NA,Cluster 3  | n =  1221,t1
20090111080623,NA,Cluster 3  | n =  1221,t1
20090111080653,NA,Cluster 4  | n =  1195,t1
20090111080670,NA,Cluster 3  | n =  1221,t1
20090111080725,NA,Cluster 3  | n =  1221,t1
20090111080787,NA,Cluster 1  | n =  2670,t1
20090111080791,NA,Cluster 1  | n =  2670,t1
20090111080803,NA,Cluster 1  | n =  2670,t1
20090111080814,NA,Cluster 1  | n =  2670,t1
20090111080843,NA,Cluster 1  | n =  2670,t1
20090111080863,NA,Cluster 1  | n =  2670,t1
20090111080901,NA,Cluster 1  | n =  2670,t1
20090111080903,NA,Cluster 1  | n =  2670,t1
20090111080908,NA,Cluster 1  | n =  2670,t1
20090111080981,NA,Cluster 1  | n =  2670,t1
20090111080999,NA,Cluster 1  | n =  2670,t1
20090111081003,NA,Cluster 1  | n =  2670,t1
20090111081024,NA,Cluster 1  | n =  2670,t1
20090111081027,NA,Cluster 3  | n =  1221,t1
20090111081036,NA,Cluster 4  | n =  1195,t1
20090111081049,NA,Cluster 1  | n =  2670,t1
20090111081067,NA,Cluster 1  | n =  2670,t1
20090111081078,NA,Cluster 1  | n =  2670,t1
20090111081092,NA,Cluster 1  | n =  2670,t1
20090111081098,NA,Cluster 1  | n =  2670,t1
20090111081118,NA,Cluster 4  | n =  1195,t1
20090111081140,NA,Cluster 1  | n =  2670,t1
20090111081199,NA,Cluster 1  | n =  2670,t1
20090111081204,NA,Cluster 3  | n =  1221,t1
20090111081223,NA,Cluster 3  | n =  1221,t1
20090111081234,NA,Cluster 1  | n =  2670,t1
20090111081251,NA,Cluster 4  | n =  1195,t1
20090111081330,NA,Cluster 1  | n =  2670,t1
