t1,t2,n
Cluster 1,Cluster 1,1832
Cluster 2,Cluster 1,69
Cluster 3,Cluster 1,912
Cluster 1,Cluster 2,61
Cluster 2,Cluster 2,118
Cluster 3,Cluster 2,105
Cluster 1,Cluster 3,892
Cluster 2,Cluster 3,88
Cluster 3,Cluster 3,1314
