ID,pair_id,cluster,time
20050101050115,1,Cluster 3  | n =  2331,t1
20050101050119,2,Cluster 3  | n =  2331,t1
20050101050146,3,Cluster 3  | n =  2331,t1
20050101050574,4,Cluster 3  | n =  2331,t1
20050101050678,5,Cluster 3  | n =  2331,t1
20050101050697,6,Cluster 3  | n =  2331,t1
20050101050715,7,Cluster 1  | n =  2785,t1
20050101050729,8,Cluster 1  | n =  2785,t1
20050101050739,9,Cluster 2  | n =  275,t1
20050101050745,10,Cluster 3  | n =  2331,t1
20050101050747,11,Cluster 1  | n =  2785,t1
20050101050766,12,Cluster 1  | n =  2785,t1
20050101050786,13,Cluster 3  | n =  2331,t1
20050101050832,14,Cluster 1  | n =  2785,t1
20050101050835,15,Cluster 2  | n =  275,t1
20050101050880,16,Cluster 3  | n =  2331,t1
20050101050891,17,Cluster 1  | n =  2785,t1
20050101050927,18,Cluster 3  | n =  2331,t1
20050101050934,19,Cluster 2  | n =  275,t1
20050101050951,20,Cluster 3  | n =  2331,t1
20050101050977,21,Cluster 1  | n =  2785,t1
20050101051016,22,Cluster 1  | n =  2785,t1
20050101051097,23,Cluster 1  | n =  2785,t1
20050101051114,24,Cluster 1  | n =  2785,t1
20050101051134,25,Cluster 1  | n =  2785,t1
20050101051147,26,Cluster 1  | n =  2785,t1
20050101051165,27,Cluster 3  | n =  2331,t1
20050101051210,28,Cluster 3  | n =  2331,t1
20050101051212,29,Cluster 3  | n =  2331,t1
20050101051249,30,Cluster 1  | n =  2785,t1
20050101051250,31,Cluster 2  | n =  275,t1
20050101051258,32,Cluster 1  | n =  2785,t1
20050101051280,33,Cluster 1  | n =  2785,t1
20050101051288,34,Cluster 1  | n =  2785,t1
20050101051323,35,Cluster 3  | n =  2331,t1
20050101051342,36,Cluster 3  | n =  2331,t1
20050101051364,37,Cluster 1  | n =  2785,t1
20050101051368,38,Cluster 1  | n =  2785,t1
20050101051482,39,Cluster 3  | n =  2331,t1
20050101051507,40,Cluster 1  | n =  2785,t1
20050101051565,41,Cluster 3  | n =  2331,t1
20050101051580,42,Cluster 1  | n =  2785,t1
20050101051606,43,Cluster 1  | n =  2785,t1
20050101051614,44,Cluster 1  | n =  2785,t1
20050101051628,45,Cluster 1  | n =  2785,t1
20050101051629,46,Cluster 1  | n =  2785,t1
20050101051636,47,Cluster 1  | n =  2785,t1
20050101051673,48,Cluster 1  | n =  2785,t1
20050101051705,49,Cluster 1  | n =  2785,t1
20050101051725,50,Cluster 1  | n =  2785,t1
