t1,t2,n
Cluster 1,Cluster 2,106
Cluster 2,Cluster 2,1867
Cluster 3,Cluster 2,131
Cluster 4,Cluster 2,22
Cluster 5,Cluster 2,78
Cluster 6,Cluster 2,243
Cluster 1,Cluster 3,7
Cluster 2,Cluster 3,71
Cluster 3,Cluster 3,266
Cluster 4,Cluster 3,25
Cluster 5,Cluster 3,68
Cluster 6,Cluster 3,228
Cluster 1,Cluster 4,1
Cluster 2,Cluster 4,30
Cluster 3,Cluster 4,28
Cluster 4,Cluster 4,89
Cluster 5,Cluster 4,4
Cluster 6,Cluster 4,41
Cluster 1,Cluster 5,8
Cluster 2,Cluster 5,152
Cluster 3,Cluster 5,219
Cluster 4,Cluster 5,12
Cluster 5,Cluster 5,134
Cluster 6,Cluster 5,295
Cluster 1,Cluster 6,9
Cluster 2,Cluster 6,160
Cluster 3,Cluster 6,266
Cluster 4,Cluster 6,33
Cluster 5,Cluster 6,85
Cluster 6,Cluster 6,276
