split,expectation
0.5,0.49997312
0.55,0.50551188
0.6,0.52004364
0.65,0.54808932
0.7,0.5776748
0.75,0.62573
0.8,0.68558088
0.8500000000000001,0.74580788
0.9,0.81694668
0.95,0.90255884
