ID,pair_id,cluster,time
20060112050775,128,Cluster 1  | n =  1274,t1
20060112050782,129,Cluster 1  | n =  1274,t1
20060112050797,130,Cluster 3  | n =  1164,t1
20060112050798,131,Cluster 3  | n =  1164,t1
20060112050805,132,Cluster 3  | n =  1164,t1
20060112050814,133,Cluster 1  | n =  1274,t1
20060112050816,134,Cluster 3  | n =  1164,t1
20060112050817,135,Cluster 1  | n =  1274,t1
20060112050819,136,Cluster 3  | n =  1164,t1
20060112050848,137,Cluster 3  | n =  1164,t1
20060112050864,138,Cluster 1  | n =  1274,t1
20060112050865,139,Cluster 3  | n =  1164,t1
20060112050878,140,Cluster 1  | n =  1274,t1
20060112050885,141,Cluster 1  | n =  1274,t1
20060112050928,142,Cluster 3  | n =  1164,t1
20060112050935,143,Cluster 3  | n =  1164,t1
20060112050984,144,Cluster 3  | n =  1164,t1
20060112050994,145,Cluster 2  | n =  143,t1
20060112050995,146,Cluster 1  | n =  1274,t1
20060112051023,147,Cluster 1  | n =  1274,t1
20060112051038,148,Cluster 3  | n =  1164,t1
20060112051061,149,Cluster 3  | n =  1164,t1
20060112051065,150,Cluster 3  | n =  1164,t1
20060112051070,151,Cluster 1  | n =  1274,t1
20060112051071,152,Cluster 3  | n =  1164,t1
20060112051076,153,Cluster 3  | n =  1164,t1
20060112051116,154,Cluster 3  | n =  1164,t1
20060112051119,155,Cluster 1  | n =  1274,t1
20060112051120,156,Cluster 1  | n =  1274,t1
20060112051125,157,Cluster 1  | n =  1274,t1
20060112051133,158,Cluster 3  | n =  1164,t1
20060112051138,159,Cluster 3  | n =  1164,t1
20060112051143,160,Cluster 3  | n =  1164,t1
20060112051145,161,Cluster 1  | n =  1274,t1
20060112051196,162,Cluster 1  | n =  1274,t1
20060112051202,163,Cluster 1  | n =  1274,t1
20060112051210,164,Cluster 3  | n =  1164,t1
20060112051221,165,Cluster 1  | n =  1274,t1
20060112051235,166,Cluster 3  | n =  1164,t1
20060112051242,167,Cluster 3  | n =  1164,t1
20060112051287,168,Cluster 1  | n =  1274,t1
20060112051289,169,Cluster 3  | n =  1164,t1
20060112051321,170,Cluster 3  | n =  1164,t1
20060112051332,171,Cluster 3  | n =  1164,t1
20060112051365,172,Cluster 1  | n =  1274,t1
20060112051391,173,Cluster 1  | n =  1274,t1
20060112051395,174,Cluster 1  | n =  1274,t1
20060112051406,175,Cluster 3  | n =  1164,t1
20060112051433,176,Cluster 1  | n =  1274,t1
20060112051446,177,Cluster 1  | n =  1274,t1
20060112051447,178,Cluster 2  | n =  143,t1
20060112051449,179,Cluster 1  | n =  1274,t1
20060112051450,180,Cluster 1  | n =  1274,t1
20060112051453,181,Cluster 1  | n =  1274,t1
20060112051466,182,Cluster 3  | n =  1164,t1
20060112051474,183,Cluster 1  | n =  1274,t1
20060112051489,184,Cluster 3  | n =  1164,t1
20060112051495,185,Cluster 1  | n =  1274,t1
20060112051509,186,Cluster 1  | n =  1274,t1
20060112051511,187,Cluster 3  | n =  1164,t1
20060112051546,188,Cluster 3  | n =  1164,t1
20060112051552,189,Cluster 3  | n =  1164,t1
20060112051559,190,Cluster 1  | n =  1274,t1
20060112051567,191,Cluster 1  | n =  1274,t1
20060112051577,192,Cluster 3  | n =  1164,t1
20060112051579,193,Cluster 1  | n =  1274,t1
20060112051582,194,Cluster 1  | n =  1274,t1
20060112051591,195,Cluster 1  | n =  1274,t1
20060112051593,196,Cluster 3  | n =  1164,t1
20060112051636,197,Cluster 3  | n =  1164,t1
20060112051650,198,Cluster 3  | n =  1164,t1
20060112051669,199,Cluster 1  | n =  1274,t1
20060112051692,200,Cluster 1  | n =  1274,t1
20060112051710,201,Cluster 1  | n =  1274,t1
20060112051720,202,Cluster 3  | n =  1164,t1
20060112051722,203,Cluster 1  | n =  1274,t1
20060112051723,204,Cluster 1  | n =  1274,t1
20060112051734,205,Cluster 3  | n =  1164,t1
20060112051751,206,Cluster 3  | n =  1164,t1
20060112051770,207,Cluster 3  | n =  1164,t1
20060112051779,208,Cluster 3  | n =  1164,t1
20060112051784,209,Cluster 3  | n =  1164,t1
20060112051785,210,Cluster 3  | n =  1164,t1
20060112051798,211,Cluster 1  | n =  1274,t1
20060112051829,212,Cluster 1  | n =  1274,t1
20060112051856,213,Cluster 1  | n =  1274,t1
20060112051859,214,Cluster 2  | n =  143,t1
20060112051861,215,Cluster 3  | n =  1164,t1
20060112051863,216,Cluster 3  | n =  1164,t1
20060112051869,217,Cluster 3  | n =  1164,t1
20060112051871,218,Cluster 3  | n =  1164,t1
20060112051894,219,Cluster 3  | n =  1164,t1
20060112051900,220,Cluster 1  | n =  1274,t1
20060112051921,221,Cluster 1  | n =  1274,t1
20060112051927,222,Cluster 3  | n =  1164,t1
20060112051936,223,Cluster 3  | n =  1164,t1
20060112051938,224,Cluster 1  | n =  1274,t1
20060112051953,225,Cluster 3  | n =  1164,t1
20060112051960,226,Cluster 1  | n =  1274,t1
20060112051961,227,Cluster 1  | n =  1274,t1
20060112051974,228,Cluster 3  | n =  1164,t1
20060112051975,229,Cluster 2  | n =  143,t1
20060112051976,230,Cluster 1  | n =  1274,t1
20060112051984,231,Cluster 1  | n =  1274,t1
20060112051987,232,Cluster 1  | n =  1274,t1
20060112051989,233,Cluster 3  | n =  1164,t1
20060112052040,234,Cluster 1  | n =  1274,t1
20060112052055,235,Cluster 1  | n =  1274,t1
20060112052057,236,Cluster 3  | n =  1164,t1
20060112052075,237,Cluster 1  | n =  1274,t1
20060112052076,238,Cluster 3  | n =  1164,t1
20060112052094,239,Cluster 1  | n =  1274,t1
20060112052139,240,Cluster 3  | n =  1164,t1
20060112052155,241,Cluster 3  | n =  1164,t1
20060112052168,242,Cluster 1  | n =  1274,t1
20060112052169,243,Cluster 3  | n =  1164,t1
20060112052178,244,Cluster 3  | n =  1164,t1
20060112052181,245,Cluster 1  | n =  1274,t1
20060112052186,246,Cluster 1  | n =  1274,t1
20060112052189,247,Cluster 1  | n =  1274,t1
20060112052205,248,Cluster 1  | n =  1274,t1
20060112052222,249,Cluster 3  | n =  1164,t1
20060112052229,250,Cluster 1  | n =  1274,t1
20060112052231,251,Cluster 3  | n =  1164,t1
20060112052239,252,Cluster 1  | n =  1274,t1
20060112052247,253,Cluster 1  | n =  1274,t1
20060112052280,254,Cluster 1  | n =  1274,t1
20060112052332,255,Cluster 1  | n =  1274,t1
20060112052335,256,Cluster 1  | n =  1274,t1
20060112052340,257,Cluster 3  | n =  1164,t1
20060112052342,258,Cluster 1  | n =  1274,t1
20060112052343,259,Cluster 3  | n =  1164,t1
20060112052353,260,Cluster 2  | n =  143,t1
20060112052355,261,Cluster 3  | n =  1164,t1
20060112052370,262,Cluster 3  | n =  1164,t1
20060112052378,263,Cluster 2  | n =  143,t1
20060112052381,264,Cluster 1  | n =  1274,t1
20060112052396,265,Cluster 3  | n =  1164,t1
20060112052407,266,Cluster 1  | n =  1274,t1
20060112052410,267,Cluster 2  | n =  143,t1
20060112052413,268,Cluster 1  | n =  1274,t1
20060112052416,269,Cluster 1  | n =  1274,t1
20060112052424,270,Cluster 1  | n =  1274,t1
20060112052425,271,Cluster 3  | n =  1164,t1
20060112052432,272,Cluster 1  | n =  1274,t1
20060112052444,273,Cluster 1  | n =  1274,t1
20060112052462,274,Cluster 3  | n =  1164,t1
20060112052479,275,Cluster 3  | n =  1164,t1
20060112052482,276,Cluster 1  | n =  1274,t1
20060112052484,277,Cluster 3  | n =  1164,t1
20060112052538,278,Cluster 3  | n =  1164,t1
20060201060042,279,Cluster 3  | n =  1164,t1
20060201060084,280,Cluster 1  | n =  1274,t1
