t1,t2,n
Cluster 1,Cluster 1,2032
Cluster 2,Cluster 1,168
Cluster 3,Cluster 1,24
Cluster 4,Cluster 1,320
Cluster 1,Cluster 2,131
Cluster 2,Cluster 2,276
Cluster 3,Cluster 2,18
Cluster 4,Cluster 2,99
Cluster 1,Cluster 3,41
Cluster 2,Cluster 3,20
Cluster 3,Cluster 3,94
Cluster 4,Cluster 3,83
Cluster 1,Cluster 4,96
Cluster 2,Cluster 4,41
Cluster 3,Cluster 4,31
Cluster 4,Cluster 4,732
Cluster 1,Cluster unmatched 1,184
Cluster 2,Cluster unmatched 1,81
Cluster 3,Cluster unmatched 1,35
Cluster 4,Cluster unmatched 1,765
