ID,pair_id,cluster,time
20100502101591,NA,Cluster 4  |  n = 1510,t1
20100502102341,NA,Cluster 4  |  n = 1510,t1
20100503100512,NA,Cluster 4  |  n = 1510,t1
20100503100597,NA,Cluster 4  |  n = 1510,t1
20100503100607,NA,Cluster 1  |  n = 1842,t1
20100503100679,NA,Cluster 3  |  n = 166,t1
20100503100759,NA,Cluster 3  |  n = 166,t1
20100503100823,NA,Cluster 1  |  n = 1842,t1
20100503100841,NA,Cluster 4  |  n = 1510,t1
20100503100853,NA,Cluster 4  |  n = 1510,t1
20100503100869,NA,Cluster 1  |  n = 1842,t1
20100503100950,NA,Cluster 1  |  n = 1842,t1
20100503101034,NA,Cluster 1  |  n = 1842,t1
20100503101050,NA,Cluster 4  |  n = 1510,t1
20100503101130,NA,Cluster 4  |  n = 1510,t1
20100503101165,NA,Cluster 2  |  n = 475,t1
20100503101223,NA,Cluster 1  |  n = 1842,t1
20100503101258,NA,Cluster 4  |  n = 1510,t1
20100503101290,NA,Cluster 1  |  n = 1842,t1
20100503101389,NA,Cluster 1  |  n = 1842,t1
20100503101394,NA,Cluster 1  |  n = 1842,t1
20100503101453,NA,Cluster 4  |  n = 1510,t1
20100503101487,NA,Cluster 2  |  n = 475,t1
20100503101500,NA,Cluster 1  |  n = 1842,t1
20100503101757,NA,Cluster 2  |  n = 475,t1
20100503101807,NA,Cluster 1  |  n = 1842,t1
20100503101822,NA,Cluster 1  |  n = 1842,t1
20100503101850,NA,Cluster 4  |  n = 1510,t1
20100503101883,NA,Cluster 1  |  n = 1842,t1
20100503102038,NA,Cluster 1  |  n = 1842,t1
20100503102049,NA,Cluster 1  |  n = 1842,t1
20100503102055,NA,Cluster 1  |  n = 1842,t1
20100503102130,NA,Cluster 4  |  n = 1510,t1
20100503102317,NA,Cluster 4  |  n = 1510,t1
20100503102367,NA,Cluster 4  |  n = 1510,t1
20100503102381,NA,Cluster 1  |  n = 1842,t1
20100503102389,NA,Cluster 1  |  n = 1842,t1
20100503102403,NA,Cluster 4  |  n = 1510,t1
20100503102490,NA,Cluster 1  |  n = 1842,t1
20100504100018,NA,Cluster 4  |  n = 1510,t1
20100504100025,NA,Cluster 4  |  n = 1510,t1
20100504100042,NA,Cluster 1  |  n = 1842,t1
20100504100063,NA,Cluster 1  |  n = 1842,t1
20100504100067,NA,Cluster 2  |  n = 475,t1
20100504100069,NA,Cluster 1  |  n = 1842,t1
20100504100070,NA,Cluster 3  |  n = 166,t1
20100504100079,NA,Cluster 1  |  n = 1842,t1
20100504100094,NA,Cluster 3  |  n = 166,t1
20100504100096,NA,Cluster 4  |  n = 1510,t1
20100504100099,NA,Cluster 4  |  n = 1510,t1
20100504100110,NA,Cluster 2  |  n = 475,t1
20100504100119,NA,Cluster 4  |  n = 1510,t1
20100504100126,NA,Cluster 3  |  n = 166,t1
20100504100129,NA,Cluster 4  |  n = 1510,t1
20100504100140,NA,Cluster 1  |  n = 1842,t1
20100504100145,NA,Cluster 4  |  n = 1510,t1
20100504100157,NA,Cluster 2  |  n = 475,t1
20100504100159,NA,Cluster 1  |  n = 1842,t1
20100504100160,NA,Cluster 4  |  n = 1510,t1
20100504100507,NA,Cluster 3  |  n = 166,t1
20100504100510,NA,Cluster 4  |  n = 1510,t1
20100504100512,NA,Cluster 3  |  n = 166,t1
20100504100515,NA,Cluster 1  |  n = 1842,t1
20100504100516,NA,Cluster 2  |  n = 475,t1
20100504100525,NA,Cluster 4  |  n = 1510,t1
20100504100526,NA,Cluster 4  |  n = 1510,t1
20100504100528,NA,Cluster 1  |  n = 1842,t1
20100504100540,NA,Cluster 1  |  n = 1842,t1
20100504100545,NA,Cluster 4  |  n = 1510,t1
20100504100547,NA,Cluster 2  |  n = 475,t1
20100504100550,NA,Cluster 1  |  n = 1842,t1
20100504100551,NA,Cluster 1  |  n = 1842,t1
20100504100554,NA,Cluster 2  |  n = 475,t1
20100504100557,NA,Cluster 4  |  n = 1510,t1
20100504100560,NA,Cluster 4  |  n = 1510,t1
20100504100579,NA,Cluster 1  |  n = 1842,t1
20100504100601,NA,Cluster 4  |  n = 1510,t1
20100504100602,NA,Cluster 4  |  n = 1510,t1
20100504100604,NA,Cluster 4  |  n = 1510,t1
20100504100606,NA,Cluster 1  |  n = 1842,t1
20100504100607,NA,Cluster 1  |  n = 1842,t1
20100504100617,NA,Cluster 3  |  n = 166,t1
20100504100621,NA,Cluster 1  |  n = 1842,t1
20100504100623,NA,Cluster 4  |  n = 1510,t1
20100504100640,NA,Cluster 4  |  n = 1510,t1
20100504100642,NA,Cluster 1  |  n = 1842,t1
20100504100653,NA,Cluster 4  |  n = 1510,t1
20100504100660,NA,Cluster 1  |  n = 1842,t1
20100504100666,NA,Cluster 4  |  n = 1510,t1
20100504100670,NA,Cluster 4  |  n = 1510,t1
20100504100674,NA,Cluster 1  |  n = 1842,t1
20100504100675,NA,Cluster 4  |  n = 1510,t1
20100504100676,NA,Cluster 1  |  n = 1842,t1
20100504100679,NA,Cluster 4  |  n = 1510,t1
20100504100682,NA,Cluster 1  |  n = 1842,t1
20100504100684,NA,Cluster 1  |  n = 1842,t1
20100504100686,NA,Cluster 2  |  n = 475,t1
20100504100701,NA,Cluster 1  |  n = 1842,t1
20100504100716,NA,Cluster 4  |  n = 1510,t1
20100504100744,NA,Cluster 4  |  n = 1510,t1
20100504100749,NA,Cluster 1  |  n = 1842,t1
20100504100753,NA,Cluster 2  |  n = 475,t1
20100504100757,NA,Cluster 1  |  n = 1842,t1
